"ID","Exited","Age","Geography","IsActiveMember","Gender","Balance","NumOfProducts","EstimatedSalary","CreditScore"
5629,0,24,"Germany","1","Male",142989.69,1,71638,660
9216,0,27,"France","0","Male",156282.79,1,151912.49,594
3588,0,50,"France","1","Female",0,2,196134.44,696
4599,1,40,"Germany","1","Female",76915.4,1,120373.84,679
7237,0,38,"France","0","Male",134811.3,1,1299.75,700
7818,0,46,"Germany","1","Female",88786.81,1,176730.02,631
6937,0,32,"France","1","Male",177729.13,1,78560.64,671
7089,0,32,"Spain","1","Male",76548.6,1,159891.03,566
5907,0,28,"France","1","Male",79460.98,2,167973.63,489
7249,1,28,"Germany","0","Male",143988,2,8755.69,677
3294,1,30,"France","1","Female",0,2,130861.95,592
3277,0,26,"France","0","Male",150300.65,2,121551.93,514
8583,0,33,"Spain","1","Female",72535.45,1,103931.49,721
3041,0,42,"Spain","1","Male",0,1,39830.1,621
9575,0,38,"Germany","0","Male",132603.36,1,55775.72,587
9234,0,40,"Germany","0","Male",55776.39,2,26920.43,611
3316,0,35,"Spain","1","Female",147936.42,1,106785.7,461
9672,1,43,"Spain","0","Female",120867.18,1,180345.44,616
5822,0,38,"Spain","0","Female",124483.53,1,126253.31,678
5795,0,58,"France","1","Male",113146.98,2,124749.08,684
5504,0,31,"France","1","Male",0,2,118716.63,593
9742,0,32,"Spain","1","Female",0,2,2002.5,629
6926,0,30,"Germany","1","Male",157989.21,2,165196.65,525
4183,0,31,"Germany","1","Male",0,2,14721.8,551
3752,0,52,"Germany","1","Female",71283.09,2,38984.37,596
6281,0,40,"France","1","Male",125832.2,1,100433.83,501
3374,0,40,"France","0","Female",0,2,175756.36,710
9994,0,40,"Spain","0","Male",63095.01,1,193321.3,739
9129,0,22,"France","1","Male",0,2,139481.53,750
5082,0,33,"Spain","0","Female",115309.75,1,111421.77,535
7612,0,37,"France","1","Male",138162.41,2,113926.31,720
7109,0,36,"Spain","0","Female",131698.57,2,102021.39,558
5117,0,44,"Spain","1","Male",0,2,102628.98,631
9134,1,48,"France","0","Male",76915.4,1,72127.83,543
9015,0,43,"France","1","Female",0,1,69829.4,687
3755,0,40,"Spain","0","Male",124788.18,1,164170.46,850
9553,0,28,"Spain","1","Male",0,2,14665.28,754
8428,0,38,"Germany","0","Male",0,2,53087.98,763
8209,0,35,"Germany","0","Male",0,1,129964.94,634
4006,0,36,"Spain","1","Male",155176.83,2,49653.37,554
5585,0,29,"France","1","Male",130131.08,2,196474.35,645
5339,0,40,"Germany","1","Female",106756.01,2,151167.94,744
4448,1,54,"France","0","Female",118241.02,1,172586.89,648
6952,0,29,"France","1","Female",121858.98,1,80262.91,547
6358,0,29,"France","0","Male",134464.58,1,52861.89,721
6980,0,39,"Spain","1","Male",0,2,100862.36,622
7767,0,25,"France","0","Male",77886.53,2,74692.06,684
9265,0,35,"France","0","Male",106836.67,1,84199.78,676
4134,0,34,"France","0","Male",144318.97,1,78566.64,444
6230,0,34,"Germany","1","Male",120018.86,2,195259.31,829
8184,0,25,"France","0","Female",0,2,45424.13,677
8603,0,35,"France","0","Female",95478.17,1,43821.56,636
4934,0,57,"France","1","Male",76165.65,2,133537.53,548
4501,0,30,"Spain","1","Male",0,2,180591.32,811
7576,0,37,"Spain","1","Male",86569.76,1,21768.21,671
6783,0,38,"France","1","Female",144090.42,1,93261.69,810
9211,1,68,"France","0","Female",183555.24,1,171340.68,560
4914,0,30,"Spain","0","Female",0,2,137791.18,614
8967,0,23,"France","1","Female",112568.31,1,78670.52,756
4109,0,44,"Germany","1","Male",0,2,83022.92,695
7261,0,28,"Spain","1","Female",97840.72,1,168053.4,639
4075,0,40,"France","1","Female",0,2,38772.65,758
6146,1,32,"Germany","1","Female",123906.22,1,127443.82,699
4386,0,37,"Germany","1","Male",70362.52,2,104189.46,543
5284,0,45,"France","1","Female",109730.22,1,5907.11,692
7706,0,26,"Germany","1","Female",123126.29,1,74425.41,850
5378,0,42,"Spain","1","Female",138912.17,1,38308.34,602
9870,0,27,"France","0","Male",120509.81,1,131924.38,623
7223,0,49,"France","0","Male",121973.28,1,148804.36,595
7044,1,41,"Spain","0","Male",155423.17,1,144390.75,707
5260,0,25,"Germany","1","Male",115142.9,1,171587.9,643
3686,0,24,"Spain","0","Male",147107.91,2,4070.28,742
6857,0,24,"Germany","0","Male",0,2,149614.81,562
9078,0,44,"France","0","Male",0,2,128046.98,819
8027,0,29,"Spain","0","Male",61710.44,2,128077.8,572
9387,0,35,"Germany","1","Male",166518.63,1,145325.32,837
3847,0,25,"Spain","1","Male",98877.95,1,176962.31,792
3983,0,40,"Spain","1","Male",110929.96,1,122109.58,848
7715,0,29,"Spain","1","Male",177997.07,1,19233.41,738
9023,0,40,"Germany","1","Male",137388.01,2,46415.09,796
7573,0,38,"France","0","Male",0,2,122379.54,706
9095,0,40,"France","0","Male",137361.96,1,183682.09,786
3151,0,35,"Germany","0","Female",102742.91,2,189339.6,460
9810,0,27,"Germany","1","Male",98899.76,2,24093.4,603
4638,1,35,"Spain","0","Male",78885.88,1,174770.14,850
5208,0,37,"France","1","Male",170557.91,2,198252.88,670
9299,0,41,"Germany","1","Male",133111.73,1,20491.15,521
5474,0,27,"Spain","1","Female",0,2,172031.22,600
4029,0,28,"France","0","Male",98738.92,1,122190.22,418
3326,0,23,"Spain","1","Male",0,2,49872.33,595
6856,0,39,"Spain","0","Male",0,2,153015.42,510
5837,0,26,"France","0","Male",139848.17,1,60887.58,646
4956,0,42,"France","0","Male",122647.32,1,159254.29,546
8358,0,56,"France","0","Male",165526.71,1,29880.99,793
8884,0,43,"France","0","Male",0,2,77500.81,603
7093,0,39,"France","0","Female",118336.14,1,188366.04,557
8459,0,64,"Spain","1","Female",91216,1,41800.18,647
3985,0,40,"France","1","Male",0,2,77414.45,706
9183,1,56,"France","0","Male",142147.32,1,39488.04,850
3986,0,30,"France","0","Female",0,2,19500.1,710
7233,0,31,"France","1","Female",122550.05,2,137835.82,850
5503,1,35,"France","0","Male",123407.69,1,152541.89,603
4762,0,27,"Spain","1","Female",133003.03,1,188007.99,663
4584,0,33,"Spain","1","Female",142876.98,2,39511.61,553
7685,0,36,"France","1","Female",0,1,160696.72,743
7084,1,50,"Germany","1","Female",117721.02,1,192146.63,579
8999,1,32,"Spain","0","Female",0,2,68141.92,706
5087,0,33,"France","0","Female",89939.62,1,136540.09,639
5244,0,27,"Germany","1","Female",132837.7,1,131647.31,546
4793,0,35,"France","0","Male",0,1,176962.31,690
7776,0,33,"France","0","Male",0,1,176728.28,543
8726,0,44,"France","1","Male",142802.02,1,126471.13,471
9644,1,38,"Germany","0","Female",130878.75,3,71905.77,673
9851,0,24,"Germany","1","Male",107637.97,2,169505.83,479
4808,0,38,"France","0","Male",92219.21,1,99106.97,589
3344,0,47,"France","0","Female",115643.58,1,121904.44,619
5507,0,30,"Spain","0","Male",125385.01,1,41233.97,779
5992,0,32,"Spain","1","Male",59568.57,1,22487.45,665
6092,0,71,"France","1","Male",135369.71,1,140130.22,565
3195,0,34,"France","1","Male",120591.19,4,56646.28,626
8981,0,36,"Germany","0","Female",68806.84,1,33075.24,733
6236,1,47,"France","1","Male",106854.21,1,157959.02,668
6124,0,35,"France","1","Female",0,2,128123.66,638
7972,1,38,"Germany","0","Male",127201.58,1,81908.09,570
9678,0,38,"France","0","Male",0,2,16146,658
5225,0,37,"France","1","Male",0,2,157891.86,485
7650,0,39,"France","1","Female",110939.3,1,110784.42,583
5875,0,28,"Germany","1","Female",62717.84,2,13182.43,766
5132,0,37,"France","0","Female",0,2,16733.59,659
8643,0,61,"Spain","1","Female",0,2,139861.53,669
9777,0,33,"Spain","1","Male",77253.22,1,129563.86,757
7023,0,36,"France","1","Male",100895.54,1,115441.66,746
6464,0,36,"France","0","Female",85146.36,1,2803.89,518
4326,0,37,"France","0","Female",0,2,141210.5,543
9741,0,43,"Germany","1","Male",141859.12,2,111249.62,601
6949,0,41,"Germany","1","Female",124978.19,2,150266.81,616
7802,0,31,"France","0","Female",0,2,54487.43,428
5667,0,38,"France","0","Male",82697.28,1,74846.67,648
6502,0,29,"Germany","0","Male",0,1,80393.27,850
5758,0,32,"Spain","1","Female",0,2,112340.2,664
6833,0,27,"Germany","1","Male",0,2,161154.85,724
3712,0,32,"Germany","0","Male",163965.69,2,103511.26,691
4452,0,38,"Germany","1","Male",132767.66,2,59115.77,592
7768,0,43,"France","0","Female",0,1,105295.77,658
8370,0,38,"France","0","Female",111835.94,2,124389.61,602
4828,1,36,"France","0","Female",123948.85,1,104469.06,616
6501,0,56,"France","0","Female",0,2,18391.93,554
6069,0,32,"Spain","0","Male",0,2,67926.18,507
5446,0,63,"Spain","1","Male",0,1,195732.04,544
6061,0,36,"Germany","1","Female",0,2,32174.03,646
3528,1,30,"Germany","0","Male",121175.56,1,117505.07,795
7055,1,57,"France","1","Male",122717.53,2,72549.27,543
9525,0,67,"France","1","Male",129431.36,1,21343.74,542
4569,0,27,"Spain","0","Male",149400.27,1,167522.19,497
9184,0,39,"France","0","Male",136855.24,1,156424.4,508
9056,0,30,"Spain","0","Male",140418.81,1,143859.66,778
9666,0,31,"Germany","1","Male",95507.12,1,197077.36,757
3473,0,34,"France","0","Male",0,1,197283.2,625
9344,0,33,"France","1","Male",0,1,44114.88,733
9098,0,37,"France","1","Female",0,2,52198.84,740
4149,0,44,"France","1","Male",0,2,154639.72,792
5037,1,31,"France","1","Female",23503.31,1,169862.01,564
5313,0,44,"Germany","1","Male",140393.65,2,186285.52,850
5823,0,40,"France","1","Male",0,2,147715.83,682
4927,0,59,"Spain","0","Male",187911.55,2,51553.43,800
9330,0,44,"Germany","0","Female",190125.43,2,74858.3,742
6324,1,33,"Germany","1","Male",69434.4,2,66580.13,687
3458,1,28,"Spain","1","Male",0,2,25445,729
6224,0,32,"Germany","1","Female",132002.7,1,120819.58,672
7927,0,37,"Germany","0","Male",145610.07,1,100982.93,654
4078,0,36,"Germany","0","Male",190479.48,1,85455.62,603
8015,0,40,"France","1","Male",0,2,54265.55,573
8658,0,33,"France","1","Female",0,1,120037.36,516
9379,0,33,"France","0","Male",0,1,73564.44,677
4313,0,37,"Germany","0","Female",0,2,110782.88,611
3185,0,18,"France","1","Male",0,2,27308.58,616
3413,0,35,"France","1","Male",97009.15,1,86764.46,654
7723,0,36,"France","0","Male",0,1,65147.27,767
5570,0,30,"Germany","0","Male",0,2,68807.47,500
4333,0,48,"France","1","Male",132667.17,1,184954.11,685
9349,1,36,"France","1","Male",149332.48,1,178067.33,635
8995,0,33,"France","0","Male",129834.67,1,193131.42,574
7875,0,28,"France","0","Female",146329.73,2,102297.15,742
4561,0,29,"Germany","1","Male",109676.52,2,25548.47,729
3564,0,33,"France","1","Male",0,1,46635.11,720
3794,0,34,"France","1","Male",93249.4,2,12092.03,685
4415,0,45,"Spain","1","Male",0,2,163655.01,667
9912,0,31,"Germany","1","Female",0,2,74890.58,737
6799,1,18,"France","1","Female",88011.4,1,90655.94,722
4370,0,27,"France","0","Male",0,1,98060.51,726
7256,0,28,"Spain","0","Male",0,4,137537.22,468
9612,0,30,"France","1","Male",0,2,18826.34,692
6581,0,37,"France","0","Male",126397.66,1,173386.95,639
5968,0,33,"Spain","0","Male",56084.69,2,178798.13,555
6129,0,40,"France","0","Male",0,2,162809.2,778
9601,1,41,"Germany","1","Female",130701.29,1,88211.12,692
7713,0,51,"Spain","1","Male",0,1,150390.57,783
3357,0,51,"France","1","Female",152509.25,2,136915.15,767
3279,0,64,"France","0","Female",120621.89,1,140803.7,706
7366,1,46,"France","0","Male",123081.84,1,178587.36,415
9491,1,42,"France","0","Female",132796.04,2,191821.35,606
6201,0,37,"France","0","Female",0,2,51229.17,607
5266,0,44,"France","1","Male",120787.18,2,52198.84,693
3618,0,32,"France","1","Female",0,1,13411.67,598
4905,1,45,"Germany","0","Female",0,2,121365.45,537
3337,0,45,"Spain","0","Female",166930.76,1,194584.48,527
5074,0,46,"Spain","1","Male",0,2,8487.75,669
3539,0,22,"Germany","1","Male",113292.17,1,27922.45,631
8077,0,19,"Spain","0","Male",89750.21,2,29837.65,739
3956,0,36,"Germany","1","Female",141428.99,2,3740.93,566
8877,0,33,"France","1","Male",156067.05,2,50759.8,747
8786,0,30,"France","1","Male",98014.74,1,12757.14,646
6625,0,39,"France","1","Female",0,1,165082.25,614
6462,1,25,"Spain","0","Female",0,3,45482.04,606
8618,0,34,"France","0","Female",138150.57,1,62868.33,708
6008,0,41,"Spain","0","Female",150219.41,2,107839.03,669
4445,0,41,"France","0","Male",0,2,12328.08,661
8177,0,40,"France","0","Male",113174.21,2,147261.58,712
5211,0,34,"Germany","0","Female",0,2,57088.97,711
5286,1,62,"Spain","0","Female",115409.6,1,70916,850
8793,0,27,"France","1","Female",0,2,131534.96,655
5626,0,43,"France","0","Male",87624.03,1,149401.33,663
9882,1,63,"France","0","Male",0,1,78955.8,576
8509,0,39,"France","1","Female",77556.79,1,156439.56,689
7213,0,38,"France","1","Female",0,2,167984.72,722
7744,0,40,"Spain","1","Female",113794.22,1,16618.76,678
4079,0,48,"Spain","1","Female",150315.92,1,133486.36,605
4241,0,64,"France","0","Male",0,2,154695.57,688
5605,1,40,"Germany","0","Female",151510.17,1,126233.18,750
4706,1,46,"Spain","0","Female",66582.81,1,149912.28,543
9559,0,26,"Germany","0","Female",0,2,112507.63,575
3873,1,40,"France","0","Female",150490.32,1,166468.21,714
3757,1,28,"Germany","0","Female",0,2,139410.08,650
9061,0,42,"France","1","Male",137560.38,2,85424.34,579
3988,1,47,"Spain","0","Male",87894.26,1,145704.19,553
5495,0,31,"France","0","Male",150725.53,2,80181.12,528
5869,0,34,"Germany","1","Male",0,2,160346.3,590
5879,0,40,"France","0","Female",0,2,183963.34,642
7807,1,34,"France","0","Male",121159.65,1,4033.39,659
8588,0,27,"Spain","0","Female",155447.65,2,151335.24,657
4234,1,22,"Germany","0","Female",99339,2,68297.61,470
7445,0,31,"France","0","Female",128345.69,2,63218.85,781
4425,0,40,"France","0","Female",136093.74,2,193408.43,640
6809,0,35,"France","1","Male",0,2,199693.84,681
9823,0,77,"Germany","1","Male",27517.15,2,164061.6,824
7482,0,29,"France","0","Male",0,2,12186.83,552
4165,0,43,"France","0","Male",0,1,20968.88,644
5072,0,46,"Spain","0","Male",0,3,171344.09,695
6071,0,36,"Spain","0","Male",0,2,171021.44,516
9083,0,30,"Germany","1","Male",0,1,145700.22,652
8250,0,36,"Spain","1","Male",157559.59,2,121505.61,665
5213,0,41,"France","0","Male",110624.99,1,143739.29,518
8823,1,54,"Germany","1","Female",111009.32,1,127587.22,699
4612,1,37,"France","1","Female",89634.69,1,169583.18,439
8497,0,37,"France","0","Male",0,1,21760.96,596
6853,1,43,"Spain","1","Female",86053.52,2,113276.46,609
9314,0,46,"Spain","1","Male",0,2,34774.26,774
8565,0,44,"Germany","0","Female",171601.27,1,705.18,513
3710,0,31,"Germany","1","Male",156111.24,1,134790.74,698
4258,0,30,"France","1","Male",127471.56,1,193878.51,824
5470,0,38,"France","0","Male",68892.77,2,27046.46,745
5556,0,43,"France","1","Female",199229.14,1,100187.43,574
9905,0,22,"France","0","Female",121498.11,2,32246.63,624
5112,0,34,"France","0","Male",144094.2,1,190623.02,613
9224,0,36,"Spain","1","Female",126608.37,1,186948.35,772
9897,0,38,"Spain","0","Female",0,2,103760.53,649
6035,0,50,"Germany","1","Male",158633.61,1,195937.16,639
9619,0,39,"France","1","Female",0,1,176791.27,850
9907,0,25,"France","1","Female",121172.97,1,56268.98,711
4347,0,36,"France","0","Female",190238.93,1,15462.84,616
9623,0,31,"Germany","1","Male",141069.18,2,62845.64,676
3791,1,38,"France","0","Female",104414.03,2,10137.34,701
4987,0,36,"France","1","Male",65962.63,1,167336.78,700
8001,0,46,"Spain","1","Male",0,2,77047.78,562
4341,0,38,"France","0","Male",0,2,17913.25,724
7903,0,22,"France","0","Male",0,2,1710.89,686
8342,0,47,"France","1","Female",0,2,65481.86,586
8407,0,41,"Spain","0","Male",103154.66,1,143203.78,605
8854,0,53,"France","0","Female",134446.04,1,127233.39,597
6657,0,40,"Spain","0","Male",0,2,88947.56,534
7388,1,45,"Germany","0","Male",131038.14,1,74005.04,713
8346,1,43,"France","1","Female",133446.34,1,64345.61,572
8910,0,51,"France","1","Female",0,2,197923.05,422
4708,1,41,"Spain","0","Female",69608.14,1,97893.4,850
7393,0,51,"Spain","0","Female",122874.74,1,34967.75,611
7956,0,72,"France","1","Male",94216.05,1,78695.68,658
7701,1,29,"Germany","0","Female",0,1,112442.63,619
4835,0,37,"France","0","Female",113899.92,1,80215.2,547
6111,0,54,"Germany","1","Male",118614.6,2,172601.62,566
4261,1,37,"France","1","Female",0,3,169719.35,757
9309,1,45,"France","1","Female",0,1,91574.92,530
9881,1,29,"Germany","1","Male",153040.03,1,131363.57,679
4057,1,43,"France","1","Male",0,2,2920.63,741
3083,1,38,"Germany","0","Female",113150.44,1,176712.59,578
6468,0,43,"France","1","Male",119501.88,2,132480.75,685
3866,1,48,"France","0","Female",73309.38,1,21228.34,684
5325,0,20,"France","0","Male",0,2,31288.77,850
8119,0,54,"Germany","1","Female",97382.53,1,195771.95,572
7172,0,33,"France","1","Male",155736.42,2,57751.21,464
8214,1,52,"Germany","1","Male",130013.12,1,190806.36,647
9518,0,26,"France","0","Male",98684.15,1,89222.66,830
5371,0,38,"Spain","0","Female",0,2,104786.59,683
5163,1,54,"Germany","1","Female",100431.84,1,35140.49,808
9694,0,38,"Germany","1","Male",0,2,52044.66,701
5656,0,35,"France","0","Female",166118.45,2,127827.18,567
8478,0,38,"France","1","Male",0,2,158580.05,717
3682,0,24,"France","0","Female",106234.02,1,193502.93,746
9906,0,35,"France","1","Male",94748.76,2,13608.18,549
6168,0,25,"Germany","1","Female",146566.01,1,161407.48,543
4562,0,42,"France","1","Female",0,2,190040.29,542
9541,0,28,"Spain","0","Female",146584.19,1,197804,574
6814,0,24,"France","0","Female",63438.91,1,64375.4,466
3989,0,32,"Germany","1","Female",124328.84,1,143783.28,558
7052,0,58,"Germany","1","Male",137318.42,2,126144.96,527
4961,1,31,"Germany","0","Female",107818.63,1,109881.71,524
9536,0,32,"France","1","Male",139659.04,1,137959,519
7007,0,20,"France","1","Male",0,2,102547.56,611
8834,0,36,"Germany","1","Male",76190.48,1,149066.14,659
5641,0,48,"France","1","Male",118469.38,1,54702.66,623
8567,0,37,"France","0","Female",70784.27,1,30579.82,587
4362,1,45,"Germany","1","Male",158456.76,1,197000.92,706
7339,0,48,"France","0","Male",129717.3,2,15360.91,551
5154,0,40,"Spain","0","Male",0,2,181543.67,543
6959,0,48,"France","0","Male",0,2,126962.41,785
9155,0,40,"Spain","1","Female",167878.5,1,165692.03,656
7721,1,42,"Germany","1","Male",174126.75,3,104804.74,850
6436,0,41,"France","0","Female",0,1,111285.85,583
3386,0,38,"Spain","0","Male",101195.23,1,10074.05,539
5451,0,46,"Spain","1","Male",0,2,60739.16,516
7557,0,32,"Spain","1","Female",0,2,118324.75,650
3141,0,50,"France","0","Female",0,1,65170.66,705
3031,0,62,"France","1","Male",0,2,82195.15,709
9046,1,22,"France","1","Male",95448.32,2,78566.64,489
8235,0,39,"Spain","1","Male",108128.52,1,56784.11,434
9792,0,24,"France","0","Female",0,1,121408.55,705
7190,1,24,"Spain","1","Female",173962.32,1,106457.11,695
6786,0,32,"Germany","1","Male",121669.23,1,125898.39,537
7112,0,49,"France","1","Male",103108.17,1,139712.81,610
6781,1,31,"Germany","0","Female",0,1,168886.39,698
3178,1,32,"France","1","Male",89079.41,4,53179.21,757
6489,0,29,"Spain","0","Male",0,2,86424.57,714
6536,1,54,"France","0","Male",128966.13,2,187597.98,793
8532,0,27,"France","1","Male",0,1,152843.53,571
9321,0,31,"France","1","Male",150604.52,1,61513.87,508
7620,0,36,"France","0","Male",0,1,38967.29,569
8557,0,31,"France","1","Male",157777.58,2,92090.36,597
8020,1,30,"France","0","Male",131765.72,1,155879.57,850
8698,1,33,"Germany","0","Female",139756.12,1,165849.49,565
3204,0,34,"France","1","Male",0,1,180934.67,611
6247,0,37,"Germany","1","Male",106453.53,2,127413,821
7019,1,45,"France","0","Female",68375.27,1,193160.25,644
5421,0,45,"Spain","1","Female",0,1,68831.72,703
5432,0,38,"France","0","Female",0,2,56388.63,520
8242,1,66,"Germany","1","Female",135392.31,1,172852.06,430
6475,0,61,"Spain","1","Male",0,2,81299.17,597
5363,0,33,"France","1","Female",190566.65,1,64511.44,703
3259,0,41,"Spain","1","Female",0,2,165196.65,683
7590,0,32,"France","1","Male",156001.68,2,151677.31,850
8985,0,26,"Spain","1","Female",76554.06,1,184800.27,679
8880,0,32,"France","1","Female",135927.06,2,69826.8,643
8409,0,37,"France","0","Female",183613.66,1,49734.94,502
4355,0,28,"France","1","Female",0,1,103349.74,461
6064,0,39,"Germany","0","Female",92474.05,1,194945.8,730
8228,0,42,"Spain","0","Male",133767.19,1,36405.21,650
4325,0,52,"Germany","1","Male",151457.88,1,149922.38,582
7106,0,49,"Spain","1","Female",160602.25,2,129273.94,834
7266,0,48,"France","0","Male",92347.96,1,163116.75,676
6352,0,71,"France","0","Female",0,2,33266.29,516
7071,0,54,"France","1","Female",95507.12,1,50906.65,754
5450,0,51,"France","0","Female",105056.13,1,70613.52,446
4233,0,57,"Germany","1","Male",101134.87,2,20063.63,754
6540,0,29,"France","1","Male",145843.82,1,131886.46,562
4851,1,47,"France","1","Male",0,1,143598.7,661
4673,0,30,"Spain","0","Male",0,1,88852.47,662
6467,0,36,"France","1","Male",0,2,71709.12,641
7204,0,43,"Spain","1","Female",0,2,72350.47,746
7104,1,46,"France","0","Male",99786.07,1,32683.88,502
7722,0,75,"Germany","1","Male",61319.63,2,186655.11,605
7357,0,34,"France","0","Male",147510.34,1,88680.65,728
5589,0,40,"Spain","1","Male",0,2,145613.17,691
9470,0,61,"France","1","Male",105525.65,2,73418.29,850
8194,1,42,"France","0","Female",144801.97,1,12483.39,649
5330,1,49,"Germany","0","Male",0,2,102397.22,768
4609,0,33,"Germany","0","Male",151922.94,1,112269.67,599
6339,0,52,"Spain","1","Male",111900.14,1,97577.17,519
9007,0,55,"Germany","0","Female",126817.65,2,143096.49,616
8382,0,36,"Spain","0","Female",0,2,28737.78,579
4760,0,38,"France","0","Female",0,2,121451.21,530
9600,1,48,"France","0","Female",165282.42,1,153786.46,720
8843,0,19,"Germany","0","Female",0,2,140723.05,837
8339,0,40,"Germany","1","Male",128486.91,2,10109.47,678
6424,0,27,"Germany","1","Male",105907.42,2,195732.04,583
3667,0,32,"Germany","1","Male",0,2,163254.39,743
8086,0,27,"Spain","0","Male",49512.55,1,133007.34,666
8239,0,36,"France","0","Female",57068.43,2,94977.3,532
7548,0,29,"France","1","Male",0,2,91196.67,592
3856,0,43,"France","0","Male",127480.58,1,65501.91,604
4948,0,31,"France","1","Female",139395.08,1,6120.84,489
8699,0,37,"Spain","0","Male",113672.18,2,172967.87,602
5670,0,39,"France","0","Male",0,2,14917.09,689
4960,0,41,"Spain","1","Female",85216.61,1,152054.33,664
3646,0,44,"France","1","Male",0,2,175518.31,510
4060,0,38,"France","1","Female",132951.92,1,124486.28,568
6127,0,35,"Germany","0","Female",133598.4,1,103901.35,606
6562,0,60,"France","0","Male",71786.9,2,149756.71,465
4264,0,23,"Germany","1","Female",123757.52,2,38984.37,630
7987,0,30,"France","0","Male",132623.6,1,58974,637
4656,0,47,"France","1","Male",0,1,144874.67,714
4886,0,60,"Spain","1","Male",99812.88,2,78194.37,747
4328,0,47,"France","1","Male",156218.19,1,33607.72,627
9843,1,66,"Spain","0","Female",0,2,1643.11,615
6082,0,28,"Spain","1","Female",128929.88,1,2920.63,660
3665,0,40,"Spain","0","Male",121355.99,2,138360.29,515
6494,0,47,"France","1","Male",107604.66,1,80149.27,693
5035,1,29,"Spain","0","Female",140094.59,1,126253.31,730
8732,0,26,"Spain","1","Male",158261.68,1,76744.72,680
6177,0,41,"France","0","Male",156021.31,2,49361.84,841
7889,1,34,"Germany","0","Male",165048.5,3,16929.41,755
8508,0,30,"France","1","Male",0,2,158444.61,619
9999,0,64,"Germany","1","Male",91869.69,2,95421,540
4204,0,69,"Spain","1","Female",0,2,40250.82,813
7374,0,35,"France","0","Female",0,2,125986.18,533
3241,1,41,"Germany","0","Female",100520.92,1,19412.8,563
7120,0,41,"France","1","Male",152243.57,1,44165.84,731
4727,1,24,"Spain","1","Female",121325.84,1,153831.6,581
5085,0,43,"Germany","1","Female",116644.29,2,60176.1,789
5734,0,28,"Germany","0","Female",77776.39,1,177737.07,714
8423,0,62,"France","0","Male",83319.28,1,26628.88,658
