"ID","Exited","Age","Geography","IsActiveMember","Gender","Balance","NumOfProducts","EstimatedSalary"
8583,0,33,"Spain","1","Female",72535.45,1,103931.49
3041,0,42,"Spain","1","Male",0,1,39830.1
9575,0,38,"Germany","0","Male",132603.36,1,55775.72
9234,0,40,"Germany","0","Male",55776.39,2,26920.43
3316,0,35,"Spain","1","Female",147936.42,1,106785.7
9672,1,43,"Spain","0","Female",120867.18,1,180345.44
5822,0,38,"Spain","0","Female",124483.53,1,126253.31
5795,0,58,"France","1","Male",113146.98,2,124749.08
5504,0,31,"France","1","Male",0,2,118716.63
9742,0,32,"Spain","1","Female",0,2,2002.5
6926,0,30,"Germany","1","Male",157989.21,2,165196.65
4183,0,31,"Germany","1","Male",0,2,14721.8
3752,0,52,"Germany","1","Female",71283.09,2,38984.37
6281,0,40,"France","1","Male",125832.2,1,100433.83
3374,0,40,"France","0","Female",0,2,175756.36
9994,0,40,"Spain","0","Male",63095.01,1,193321.3
9129,0,22,"France","1","Male",0,2,139481.53
5082,0,33,"Spain","0","Female",115309.75,1,111421.77
7612,0,37,"France","1","Male",138162.41,2,113926.31
7109,0,36,"Spain","0","Female",131698.57,2,102021.39
5117,0,44,"Spain","1","Male",0,2,102628.98
9134,1,48,"France","0","Male",76915.4,1,72127.83
9015,0,43,"France","1","Female",0,1,69829.4
3755,0,40,"Spain","0","Male",124788.18,1,164170.46
9553,0,28,"Spain","1","Male",0,2,14665.28
8428,0,38,"Germany","0","Male",0,2,53087.98
8209,0,35,"Germany","0","Male",0,1,129964.94
4006,0,36,"Spain","1","Male",155176.83,2,49653.37
5585,0,29,"France","1","Male",130131.08,2,196474.35
5339,0,40,"Germany","1","Female",106756.01,2,151167.94
4448,1,54,"France","0","Female",118241.02,1,172586.89
6952,0,29,"France","1","Female",121858.98,1,80262.91
6980,0,39,"Spain","1","Male",0,2,100862.36
7767,0,25,"France","0","Male",77886.53,2,74692.06
9265,0,35,"France","0","Male",106836.67,1,84199.78
4134,0,34,"France","0","Male",144318.97,1,78566.64
6230,0,34,"Germany","1","Male",120018.86,2,195259.31
8184,0,25,"France","0","Female",0,2,45424.13
8603,0,35,"France","0","Female",95478.17,1,43821.56
4934,0,57,"France","1","Male",76165.65,2,133537.53
4501,0,30,"Spain","1","Male",0,2,180591.32
7576,0,37,"Spain","1","Male",86569.76,1,21768.21
6783,0,38,"France","1","Female",144090.42,1,93261.69
9211,1,68,"France","0","Female",183555.24,1,171340.68
4914,0,30,"Spain","0","Female",0,2,137791.18
8967,0,23,"France","1","Female",112568.31,1,78670.52
4109,0,44,"Germany","1","Male",0,2,83022.92
7261,0,28,"Spain","1","Female",97840.72,1,168053.4
4075,0,40,"France","1","Female",0,2,38772.65
6146,1,32,"Germany","1","Female",123906.22,1,127443.82
4386,0,37,"Germany","1","Male",70362.52,2,104189.46
5284,0,45,"France","1","Female",109730.22,1,5907.11
7706,0,26,"Germany","1","Female",123126.29,1,74425.41
5378,0,42,"Spain","1","Female",138912.17,1,38308.34
9870,0,27,"France","0","Male",120509.81,1,131924.38
7223,0,49,"France","0","Male",121973.28,1,148804.36
7044,1,41,"Spain","0","Male",155423.17,1,144390.75
5260,0,25,"Germany","1","Male",115142.9,1,171587.9
3686,0,24,"Spain","0","Male",147107.91,2,4070.28
6857,0,24,"Germany","0","Male",0,2,149614.81
9078,0,44,"France","0","Male",0,2,128046.98
8027,0,29,"Spain","0","Male",61710.44,2,128077.8
9387,0,35,"Germany","1","Male",166518.63,1,145325.32
3847,0,25,"Spain","1","Male",98877.95,1,176962.31
7715,0,29,"Spain","1","Male",177997.07,1,19233.41
9023,0,40,"Germany","1","Male",137388.01,2,46415.09
7573,0,38,"France","0","Male",0,2,122379.54
9095,0,40,"France","0","Male",137361.96,1,183682.09
3151,0,35,"Germany","0","Female",102742.91,2,189339.6
9810,0,27,"Germany","1","Male",98899.76,2,24093.4
4638,1,35,"Spain","0","Male",78885.88,1,174770.14
5208,0,37,"France","1","Male",170557.91,2,198252.88
9299,0,41,"Germany","1","Male",133111.73,1,20491.15
5474,0,27,"Spain","1","Female",0,2,172031.22
4029,0,28,"France","0","Male",98738.92,1,122190.22
3326,0,23,"Spain","1","Male",0,2,49872.33
6856,0,39,"Spain","0","Male",0,2,153015.42
5837,0,26,"France","0","Male",139848.17,1,60887.58
4956,0,42,"France","0","Male",122647.32,1,159254.29
8358,0,56,"France","0","Male",165526.71,1,29880.99
8884,0,43,"France","0","Male",0,2,77500.81
7093,0,39,"France","0","Female",118336.14,1,188366.04
8459,0,64,"Spain","1","Female",91216,1,41800.18
3985,0,40,"France","1","Male",0,2,77414.45
9183,1,56,"France","0","Male",142147.32,1,39488.04
3986,0,30,"France","0","Female",0,2,19500.1
7233,0,31,"France","1","Female",122550.05,2,137835.82
5503,1,35,"France","0","Male",123407.69,1,152541.89
4762,0,27,"Spain","1","Female",133003.03,1,188007.99
4584,0,33,"Spain","1","Female",142876.98,2,39511.61
7685,0,36,"France","1","Female",0,1,160696.72
7084,1,50,"Germany","1","Female",117721.02,1,192146.63
8999,1,32,"Spain","0","Female",0,2,68141.92
5087,0,33,"France","0","Female",89939.62,1,136540.09
5244,0,27,"Germany","1","Female",132837.7,1,131647.31
4793,0,35,"France","0","Male",0,1,176962.31
7776,0,33,"France","0","Male",0,1,176728.28
8726,0,44,"France","1","Male",142802.02,1,126471.13
9644,1,38,"Germany","0","Female",130878.75,3,71905.77
9851,0,24,"Germany","1","Male",107637.97,2,169505.83
4808,0,38,"France","0","Male",92219.21,1,99106.97
3344,0,47,"France","0","Female",115643.58,1,121904.44
5507,0,30,"Spain","0","Male",125385.01,1,41233.97
5992,0,32,"Spain","1","Male",59568.57,1,22487.45
6092,0,71,"France","1","Male",135369.71,1,140130.22
8981,0,36,"Germany","0","Female",68806.84,1,33075.24
6236,1,47,"France","1","Male",106854.21,1,157959.02
6124,0,35,"France","1","Female",0,2,128123.66
7972,1,38,"Germany","0","Male",127201.58,1,81908.09
9678,0,38,"France","0","Male",0,2,16146
5225,0,37,"France","1","Male",0,2,157891.86
7650,0,39,"France","1","Female",110939.3,1,110784.42
5875,0,28,"Germany","1","Female",62717.84,2,13182.43
5132,0,37,"France","0","Female",0,2,16733.59
8643,0,61,"Spain","1","Female",0,2,139861.53
9777,0,33,"Spain","1","Male",77253.22,1,129563.86
7023,0,36,"France","1","Male",100895.54,1,115441.66
6464,0,36,"France","0","Female",85146.36,1,2803.89
4326,0,37,"France","0","Female",0,2,141210.5
9741,0,43,"Germany","1","Male",141859.12,2,111249.62
6949,0,41,"Germany","1","Female",124978.19,2,150266.81
7802,0,31,"France","0","Female",0,2,54487.43
5667,0,38,"France","0","Male",82697.28,1,74846.67
6502,0,29,"Germany","0","Male",0,1,80393.27
5758,0,32,"Spain","1","Female",0,2,112340.2
6833,0,27,"Germany","1","Male",0,2,161154.85
3712,0,32,"Germany","0","Male",163965.69,2,103511.26
4452,0,38,"Germany","1","Male",132767.66,2,59115.77
7768,0,43,"France","0","Female",0,1,105295.77
8370,0,38,"France","0","Female",111835.94,2,124389.61
4828,1,36,"France","0","Female",123948.85,1,104469.06
6501,0,56,"France","0","Female",0,2,18391.93
6069,0,32,"Spain","0","Male",0,2,67926.18
5446,0,63,"Spain","1","Male",0,1,195732.04
6061,0,36,"Germany","1","Female",0,2,32174.03
3528,1,30,"Germany","0","Male",121175.56,1,117505.07
7055,1,57,"France","1","Male",122717.53,2,72549.27
9525,0,67,"France","1","Male",129431.36,1,21343.74
4569,0,27,"Spain","0","Male",149400.27,1,167522.19
9184,0,39,"France","0","Male",136855.24,1,156424.4
9056,0,30,"Spain","0","Male",140418.81,1,143859.66
9666,0,31,"Germany","1","Male",95507.12,1,197077.36
3473,0,34,"France","0","Male",0,1,197283.2
9344,0,33,"France","1","Male",0,1,44114.88
9098,0,37,"France","1","Female",0,2,52198.84
4149,0,44,"France","1","Male",0,2,154639.72
5037,1,31,"France","1","Female",23503.31,1,169862.01
5313,0,44,"Germany","1","Male",140393.65,2,186285.52
5823,0,40,"France","1","Male",0,2,147715.83
4927,0,59,"Spain","0","Male",187911.55,2,51553.43
9330,0,44,"Germany","0","Female",190125.43,2,74858.3
6324,1,33,"Germany","1","Male",69434.4,2,66580.13
3458,1,28,"Spain","1","Male",0,2,25445
6224,0,32,"Germany","1","Female",132002.7,1,120819.58
7927,0,37,"Germany","0","Male",145610.07,1,100982.93
4078,0,36,"Germany","0","Male",190479.48,1,85455.62
8015,0,40,"France","1","Male",0,2,54265.55
8658,0,33,"France","1","Female",0,1,120037.36
9379,0,33,"France","0","Male",0,1,73564.44
4313,0,37,"Germany","0","Female",0,2,110782.88
3185,0,18,"France","1","Male",0,2,27308.58
3413,0,35,"France","1","Male",97009.15,1,86764.46
7723,0,36,"France","0","Male",0,1,65147.27
5570,0,30,"Germany","0","Male",0,2,68807.47
4333,0,48,"France","1","Male",132667.17,1,184954.11
9349,1,36,"France","1","Male",149332.48,1,178067.33
8995,0,33,"France","0","Male",129834.67,1,193131.42
7875,0,28,"France","0","Female",146329.73,2,102297.15
4561,0,29,"Germany","1","Male",109676.52,2,25548.47
3564,0,33,"France","1","Male",0,1,46635.11
3794,0,34,"France","1","Male",93249.4,2,12092.03
4415,0,45,"Spain","1","Male",0,2,163655.01
9912,0,31,"Germany","1","Female",0,2,74890.58
6799,1,18,"France","1","Female",88011.4,1,90655.94
4370,0,27,"France","0","Male",0,1,98060.51
9612,0,30,"France","1","Male",0,2,18826.34
6581,0,37,"France","0","Male",126397.66,1,173386.95
5968,0,33,"Spain","0","Male",56084.69,2,178798.13
6129,0,40,"France","0","Male",0,2,162809.2
9601,1,41,"Germany","1","Female",130701.29,1,88211.12
7713,0,51,"Spain","1","Male",0,1,150390.57
3357,0,51,"France","1","Female",152509.25,2,136915.15
3279,0,64,"France","0","Female",120621.89,1,140803.7
7366,1,46,"France","0","Male",123081.84,1,178587.36
9491,1,42,"France","0","Female",132796.04,2,191821.35
6201,0,37,"France","0","Female",0,2,51229.17
5266,0,44,"France","1","Male",120787.18,2,52198.84
3618,0,32,"France","1","Female",0,1,13411.67
4905,1,45,"Germany","0","Female",0,2,121365.45
3337,0,45,"Spain","0","Female",166930.76,1,194584.48
5074,0,46,"Spain","1","Male",0,2,8487.75
3539,0,22,"Germany","1","Male",113292.17,1,27922.45
8077,0,19,"Spain","0","Male",89750.21,2,29837.65
3956,0,36,"Germany","1","Female",141428.99,2,3740.93
8877,0,33,"France","1","Male",156067.05,2,50759.8
8786,0,30,"France","1","Male",98014.74,1,12757.14
6625,0,39,"France","1","Female",0,1,165082.25
8618,0,34,"France","0","Female",138150.57,1,62868.33
6008,0,41,"Spain","0","Female",150219.41,2,107839.03
4445,0,41,"France","0","Male",0,2,12328.08
8177,0,40,"France","0","Male",113174.21,2,147261.58
5211,0,34,"Germany","0","Female",0,2,57088.97
5286,1,62,"Spain","0","Female",115409.6,1,70916
8793,0,27,"France","1","Female",0,2,131534.96
5626,0,43,"France","0","Male",87624.03,1,149401.33
9882,1,63,"France","0","Male",0,1,78955.8
8509,0,39,"France","1","Female",77556.79,1,156439.56
7213,0,38,"France","1","Female",0,2,167984.72
7744,0,40,"Spain","1","Female",113794.22,1,16618.76
4079,0,48,"Spain","1","Female",150315.92,1,133486.36
4241,0,64,"France","0","Male",0,2,154695.57
5605,1,40,"Germany","0","Female",151510.17,1,126233.18
4706,1,46,"Spain","0","Female",66582.81,1,149912.28
9559,0,26,"Germany","0","Female",0,2,112507.63
3873,1,40,"France","0","Female",150490.32,1,166468.21
3757,1,28,"Germany","0","Female",0,2,139410.08
9061,0,42,"France","1","Male",137560.38,2,85424.34
3988,1,47,"Spain","0","Male",87894.26,1,145704.19
5495,0,31,"France","0","Male",150725.53,2,80181.12
5869,0,34,"Germany","1","Male",0,2,160346.3
5879,0,40,"France","0","Female",0,2,183963.34
7807,1,34,"France","0","Male",121159.65,1,4033.39
8588,0,27,"Spain","0","Female",155447.65,2,151335.24
4234,1,22,"Germany","0","Female",99339,2,68297.61
7445,0,31,"France","0","Female",128345.69,2,63218.85
4425,0,40,"France","0","Female",136093.74,2,193408.43
6809,0,35,"France","1","Male",0,2,199693.84
9823,0,77,"Germany","1","Male",27517.15,2,164061.6
7482,0,29,"France","0","Male",0,2,12186.83
4165,0,43,"France","0","Male",0,1,20968.88
6071,0,36,"Spain","0","Male",0,2,171021.44
9083,0,30,"Germany","1","Male",0,1,145700.22
8250,0,36,"Spain","1","Male",157559.59,2,121505.61
5213,0,41,"France","0","Male",110624.99,1,143739.29
8823,1,54,"Germany","1","Female",111009.32,1,127587.22
4612,1,37,"France","1","Female",89634.69,1,169583.18
8497,0,37,"France","0","Male",0,1,21760.96
6853,1,43,"Spain","1","Female",86053.52,2,113276.46
9314,0,46,"Spain","1","Male",0,2,34774.26
8565,0,44,"Germany","0","Female",171601.27,1,705.18
4258,0,30,"France","1","Male",127471.56,1,193878.51
5470,0,38,"France","0","Male",68892.77,2,27046.46
5556,0,43,"France","1","Female",199229.14,1,100187.43
9905,0,22,"France","0","Female",121498.11,2,32246.63
5112,0,34,"France","0","Male",144094.2,1,190623.02
9224,0,36,"Spain","1","Female",126608.37,1,186948.35
9897,0,38,"Spain","0","Female",0,2,103760.53
6035,0,50,"Germany","1","Male",158633.61,1,195937.16
9619,0,39,"France","1","Female",0,1,176791.27
9907,0,25,"France","1","Female",121172.97,1,56268.98
4347,0,36,"France","0","Female",190238.93,1,15462.84
9623,0,31,"Germany","1","Male",141069.18,2,62845.64
3791,1,38,"France","0","Female",104414.03,2,10137.34
4987,0,36,"France","1","Male",65962.63,1,167336.78
8001,0,46,"Spain","1","Male",0,2,77047.78
4341,0,38,"France","0","Male",0,2,17913.25
7903,0,22,"France","0","Male",0,2,1710.89
8342,0,47,"France","1","Female",0,2,65481.86
8407,0,41,"Spain","0","Male",103154.66,1,143203.78
8854,0,53,"France","0","Female",134446.04,1,127233.39
6657,0,40,"Spain","0","Male",0,2,88947.56
7388,1,45,"Germany","0","Male",131038.14,1,74005.04
8346,1,43,"France","1","Female",133446.34,1,64345.61
8910,0,51,"France","1","Female",0,2,197923.05
4708,1,41,"Spain","0","Female",69608.14,1,97893.4
7393,0,51,"Spain","0","Female",122874.74,1,34967.75
7956,0,72,"France","1","Male",94216.05,1,78695.68
7701,1,29,"Germany","0","Female",0,1,112442.63
4835,0,37,"France","0","Female",113899.92,1,80215.2
6111,0,54,"Germany","1","Male",118614.6,2,172601.62
4261,1,37,"France","1","Female",0,3,169719.35
9309,1,45,"France","1","Female",0,1,91574.92
9881,1,29,"Germany","1","Male",153040.03,1,131363.57
4057,1,43,"France","1","Male",0,2,2920.63
3083,1,38,"Germany","0","Female",113150.44,1,176712.59
6468,0,43,"France","1","Male",119501.88,2,132480.75
3866,1,48,"France","0","Female",73309.38,1,21228.34
5325,0,20,"France","0","Male",0,2,31288.77
8119,0,54,"Germany","1","Female",97382.53,1,195771.95
7172,0,33,"France","1","Male",155736.42,2,57751.21
8214,1,52,"Germany","1","Male",130013.12,1,190806.36
9518,0,26,"France","0","Male",98684.15,1,89222.66
5371,0,38,"Spain","0","Female",0,2,104786.59
5163,1,54,"Germany","1","Female",100431.84,1,35140.49
9694,0,38,"Germany","1","Male",0,2,52044.66
5656,0,35,"France","0","Female",166118.45,2,127827.18
8478,0,38,"France","1","Male",0,2,158580.05
3682,0,24,"France","0","Female",106234.02,1,193502.93
9906,0,35,"France","1","Male",94748.76,2,13608.18
6168,0,25,"Germany","1","Female",146566.01,1,161407.48
4562,0,42,"France","1","Female",0,2,190040.29
9541,0,28,"Spain","0","Female",146584.19,1,197804
6814,0,24,"France","0","Female",63438.91,1,64375.4
3989,0,32,"Germany","1","Female",124328.84,1,143783.28
7052,0,58,"Germany","1","Male",137318.42,2,126144.96
4961,1,31,"Germany","0","Female",107818.63,1,109881.71
9536,0,32,"France","1","Male",139659.04,1,137959
7007,0,20,"France","1","Male",0,2,102547.56
8834,0,36,"Germany","1","Male",76190.48,1,149066.14
5641,0,48,"France","1","Male",118469.38,1,54702.66
8567,0,37,"France","0","Female",70784.27,1,30579.82
4362,1,45,"Germany","1","Male",158456.76,1,197000.92
7339,0,48,"France","0","Male",129717.3,2,15360.91
5154,0,40,"Spain","0","Male",0,2,181543.67
6959,0,48,"France","0","Male",0,2,126962.41
9155,0,40,"Spain","1","Female",167878.5,1,165692.03
6436,0,41,"France","0","Female",0,1,111285.85
3386,0,38,"Spain","0","Male",101195.23,1,10074.05
5451,0,46,"Spain","1","Male",0,2,60739.16
7557,0,32,"Spain","1","Female",0,2,118324.75
3141,0,50,"France","0","Female",0,1,65170.66
3031,0,62,"France","1","Male",0,2,82195.15
9046,1,22,"France","1","Male",95448.32,2,78566.64
8235,0,39,"Spain","1","Male",108128.52,1,56784.11
9792,0,24,"France","0","Female",0,1,121408.55
7190,1,24,"Spain","1","Female",173962.32,1,106457.11
6786,0,32,"Germany","1","Male",121669.23,1,125898.39
7112,0,49,"France","1","Male",103108.17,1,139712.81
6781,1,31,"Germany","0","Female",0,1,168886.39
3178,1,32,"France","1","Male",89079.41,4,53179.21
6489,0,29,"Spain","0","Male",0,2,86424.57
6536,1,54,"France","0","Male",128966.13,2,187597.98
8532,0,27,"France","1","Male",0,1,152843.53
9321,0,31,"France","1","Male",150604.52,1,61513.87
7620,0,36,"France","0","Male",0,1,38967.29
8557,0,31,"France","1","Male",157777.58,2,92090.36
8020,1,30,"France","0","Male",131765.72,1,155879.57
8698,1,33,"Germany","0","Female",139756.12,1,165849.49
3204,0,34,"France","1","Male",0,1,180934.67
6247,0,37,"Germany","1","Male",106453.53,2,127413
7019,1,45,"France","0","Female",68375.27,1,193160.25
5421,0,45,"Spain","1","Female",0,1,68831.72
5432,0,38,"France","0","Female",0,2,56388.63
8242,1,66,"Germany","1","Female",135392.31,1,172852.06
6475,0,61,"Spain","1","Male",0,2,81299.17
5363,0,33,"France","1","Female",190566.65,1,64511.44
3259,0,41,"Spain","1","Female",0,2,165196.65
7590,0,32,"France","1","Male",156001.68,2,151677.31
8985,0,26,"Spain","1","Female",76554.06,1,184800.27
8880,0,32,"France","1","Female",135927.06,2,69826.8
8409,0,37,"France","0","Female",183613.66,1,49734.94
4355,0,28,"France","1","Female",0,1,103349.74
6064,0,39,"Germany","0","Female",92474.05,1,194945.8
8228,0,42,"Spain","0","Male",133767.19,1,36405.21
4325,0,52,"Germany","1","Male",151457.88,1,149922.38
7106,0,49,"Spain","1","Female",160602.25,2,129273.94
7266,0,48,"France","0","Male",92347.96,1,163116.75
6352,0,71,"France","0","Female",0,2,33266.29
7071,0,54,"France","1","Female",95507.12,1,50906.65
5450,0,51,"France","0","Female",105056.13,1,70613.52
4233,0,57,"Germany","1","Male",101134.87,2,20063.63
6540,0,29,"France","1","Male",145843.82,1,131886.46
4851,1,47,"France","1","Male",0,1,143598.7
4673,0,30,"Spain","0","Male",0,1,88852.47
6467,0,36,"France","1","Male",0,2,71709.12
7204,0,43,"Spain","1","Female",0,2,72350.47
7104,1,46,"France","0","Male",99786.07,1,32683.88
7722,0,75,"Germany","1","Male",61319.63,2,186655.11
7357,0,34,"France","0","Male",147510.34,1,88680.65
5589,0,40,"Spain","1","Male",0,2,145613.17
9470,0,61,"France","1","Male",105525.65,2,73418.29
8194,1,42,"France","0","Female",144801.97,1,12483.39
5330,1,49,"Germany","0","Male",0,2,102397.22
4609,0,33,"Germany","0","Male",151922.94,1,112269.67
6339,0,52,"Spain","1","Male",111900.14,1,97577.17
9007,0,55,"Germany","0","Female",126817.65,2,143096.49
8382,0,36,"Spain","0","Female",0,2,28737.78
4760,0,38,"France","0","Female",0,2,121451.21
9600,1,48,"France","0","Female",165282.42,1,153786.46
8843,0,19,"Germany","0","Female",0,2,140723.05
8339,0,40,"Germany","1","Male",128486.91,2,10109.47
6424,0,27,"Germany","1","Male",105907.42,2,195732.04
3667,0,32,"Germany","1","Male",0,2,163254.39
8086,0,27,"Spain","0","Male",49512.55,1,133007.34
8239,0,36,"France","0","Female",57068.43,2,94977.3
7548,0,29,"France","1","Male",0,2,91196.67
3856,0,43,"France","0","Male",127480.58,1,65501.91
4948,0,31,"France","1","Female",139395.08,1,6120.84
8699,0,37,"Spain","0","Male",113672.18,2,172967.87
5670,0,39,"France","0","Male",0,2,14917.09
4960,0,41,"Spain","1","Female",85216.61,1,152054.33
3646,0,44,"France","1","Male",0,2,175518.31
4060,0,38,"France","1","Female",132951.92,1,124486.28
6127,0,35,"Germany","0","Female",133598.4,1,103901.35
6562,0,60,"France","0","Male",71786.9,2,149756.71
4264,0,23,"Germany","1","Female",123757.52,2,38984.37
7987,0,30,"France","0","Male",132623.6,1,58974
4656,0,47,"France","1","Male",0,1,144874.67
4886,0,60,"Spain","1","Male",99812.88,2,78194.37
4328,0,47,"France","1","Male",156218.19,1,33607.72
9843,1,66,"Spain","0","Female",0,2,1643.11
6082,0,28,"Spain","1","Female",128929.88,1,2920.63
3665,0,40,"Spain","0","Male",121355.99,2,138360.29
6494,0,47,"France","1","Male",107604.66,1,80149.27
5035,1,29,"Spain","0","Female",140094.59,1,126253.31
8732,0,26,"Spain","1","Male",158261.68,1,76744.72
6177,0,41,"France","0","Male",156021.31,2,49361.84
7889,1,34,"Germany","0","Male",165048.5,3,16929.41
8508,0,30,"France","1","Male",0,2,158444.61
9999,0,64,"Germany","1","Male",91869.69,2,95421
4204,0,69,"Spain","1","Female",0,2,40250.82
7374,0,35,"France","0","Female",0,2,125986.18
3241,1,41,"Germany","0","Female",100520.92,1,19412.8
7120,0,41,"France","1","Male",152243.57,1,44165.84
4727,1,24,"Spain","1","Female",121325.84,1,153831.6
5085,0,43,"Germany","1","Female",116644.29,2,60176.1
5734,0,28,"Germany","0","Female",77776.39,1,177737.07
8423,0,62,"France","0","Male",83319.28,1,26628.88
4743,0,21,"France","0","Female",0,2,78566.64
6984,0,35,"Spain","0","Male",95772.97,1,112781.5
9163,0,44,"France","1","Female",0,2,76773.53
8791,0,34,"France","1","Female",99705.69,1,14357
3378,0,35,"France","1","Male",0,2,98998.61
3549,0,36,"France","0","Male",0,2,68064.83
8735,1,30,"France","1","Female",0,2,100496.84
4268,0,39,"Spain","1","Male",0,2,177519.39
5096,0,29,"France","1","Male",96891.46,1,21862.19
7030,0,24,"Germany","1","Male",146093.39,1,160450.21
7489,0,31,"France","1","Female",0,3,49722.34
6211,0,40,"Germany","1","Female",137389.77,2,170122.22
9992,0,30,"France","1","Male",0,2,18471.86
4395,0,31,"France","1","Male",155271.83,1,179446.31
7766,0,40,"France","1","Female",75075.31,2,177099.71
8309,1,53,"France","1","Male",98848.19,1,153887.93
3311,0,30,"Spain","1","Female",0,2,41192.95
9333,0,40,"France","0","Female",137492.35,2,181610.6
4442,0,29,"France","1","Female",73194.52,2,129209.09
8502,0,41,"Spain","1","Female",0,2,74275.08
5086,0,27,"France","1","Female",0,2,74005.04
4108,0,45,"Germany","1","Female",106431.97,2,164117.69
3319,0,37,"France","1","Male",0,2,127543.81
5894,0,60,"France","1","Male",88786.81,1,196858.4
4862,0,38,"France","1","Male",0,2,77864.41
4666,0,38,"France","1","Male",130015.24,1,57962.41
3120,1,54,"Germany","0","Female",92316.31,2,94415.6
5760,0,33,"France","0","Male",0,1,38550.4
4557,0,70,"France","1","Male",94416.78,1,188305.85
6571,1,35,"Germany","0","Female",127543.11,2,468.94
3599,0,59,"France","1","Female",0,1,4423.63
9947,0,40,"France","0","Male",119501.88,2,46774.94
8435,0,39,"Germany","0","Female",88477.36,2,58632.37
9225,1,41,"Germany","1","Female",138881.04,1,24472.23
8175,0,38,"France","1","Female",108306.44,1,192486.24
3134,0,27,"France","1","Male",124348.38,1,145004.39
7520,0,30,"France","1","Male",156864.2,2,62905.29
5804,1,49,"Germany","0","Female",153855.52,1,180862.26
9150,1,48,"Germany","0","Female",104478.12,3,158248.71
6200,0,31,"Germany","1","Female",102523.88,1,166792.71
3879,0,38,"France","0","Female",0,2,170333.38
3668,0,39,"Spain","0","Male",131468.44,1,164975.82
8920,0,53,"Spain","0","Female",0,1,51711.57
3049,0,39,"Spain","1","Male",0,2,118570.53
8596,0,38,"France","1","Male",146343.98,1,103902.11
6311,0,49,"France","1","Male",95020.8,2,59748.19
3193,0,47,"Spain","1","Male",84906.45,2,89103.05
