"ID","Tenure","NetPromoterScore","TransactionFrequency","Age","ComplaintsCount","EstimatedSalary","AvgTransactionAmount","DigitalEngagementScore","CreditScore","Balance","NumOfProducts","Gender","EducationLevel","LoanStatus","Geography","HasCrCard","IsActiveMember","CustomerSegment","MaritalStatus","SavingsAccountFlag","Exited","Outlier_LOF","Outlier_Mahalanobis","Outlier_Mahalanobis_Rob","Num_Metodos_Outlier"
8134,6,8,28,35,0,28707.69,120.926366759825,55,835,127120.07,1,"Male","University","No loan","France","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
6446,7,5,27,26,0,79414,111.751095400673,63,745,152400.51,2,"Male","High School","Active loan","Germany","1","0","Affluent","Single","1",0,FALSE,FALSE,FALSE,0
7761,4,4,29,39,0,120612.11,49.7913339472809,61,684,139723.9,1,"Female","High School","Active loan","Spain","1","1","Affluent","Single","1",0,FALSE,FALSE,FALSE,0
9746,6,8,28,40,0,159508.52,191.305469040082,69,605,0,1,"Female","University","No loan","Spain","0","0","Mass Market","Married","1",0,TRUE,FALSE,FALSE,1
4627,10,10,21,34,0,140509.86,49.3734828522953,61,688,102800.72,1,"Male","University","No loan","Spain","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
5757,5,9,30,42,0,10078.02,189.243699402078,79,634,131945.94,1,"Male","University","No loan","Germany","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
8107,10,10,31,33,0,140759.03,136.330910547844,20,586,126776.3,2,"Female","University","No loan","France","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
8211,8,10,22,47,0,186136.48,97.3909756432833,46,751,153855.52,1,"Male","University","No loan","Spain","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
3953,5,0,17,28,4,89289.54,299.621526385233,55,678,138668.18,1,"Male","Other","Default risk","France","0","0","High Net Worth","Widowed","0",0,FALSE,TRUE,FALSE,1
7444,1,10,26,37,0,84584.69,94.5927923959026,62,627,109472.47,1,"Male","High School","Active loan","France","0","1","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
4017,3,1,28,33,2,94488.82,109.618042482015,53,569,123816.5,1,"Male","Postgraduate","Default risk","Spain","0","0","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
5013,6,10,36,32,0,69578.49,258.722313393847,80,714,92887.13,1,"Female","High School","No loan","Germany","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
8475,6,9,22,42,0,153342.38,236.217805502062,76,701,86167.82,1,"Female","University","No loan","France","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
5888,3,3,33,52,1,175843.68,172.482651879158,28,691,0,2,"Female","Postgraduate","Active loan","France","1","0","High Net Worth","Divorced","0",1,FALSE,FALSE,FALSE,0
9170,5,5,32,48,0,160529.71,88.0991998902802,31,469,0,1,"Female","High School","Active loan","France","1","0","Affluent","Single","1",1,FALSE,FALSE,FALSE,0
5567,7,9,28,30,0,126555.74,107.524357242795,54,850,80293.98,1,"Male","University","No loan","Germany","0","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
4450,3,10,28,30,0,83473.82,50.8452997294432,40,684,0,2,"Male","High School","No loan","France","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
8769,5,9,20,24,0,103548.25,72.0971987169753,56,814,102773.2,2,"Male","High School","No loan","Germany","1","0","Mass Market","Married","1",1,FALSE,FALSE,FALSE,0
4790,7,2,27,48,0,85081.09,122.086035746322,39,530,0,1,"Female","University","No loan","France","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
7307,2,4,37,35,0,198802.9,107.237801071328,64,690,92618.62,1,"Female","High School","Active loan","Germany","0","0","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
5980,8,8,25,38,0,107874.39,113.865201595426,52,504,206663.75,1,"Male","University","No loan","France","0","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
4614,7,10,23,41,0,9201.53,90.1323744574138,49,579,141749.68,1,"Male","University","No loan","Germany","0","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
9737,3,9,23,25,0,22745.5,60.3287869776042,56,657,171770.55,1,"Male","University","No loan","France","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
3555,0,0,30,36,3,99019.65,61.4033291974493,51,669,88963.31,1,"Female","Postgraduate","Active loan","Germany","1","1","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
8991,3,7,36,34,0,6120.84,125.209810042783,37,655,0,2,"Female","University","No loan","France","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
7469,4,7,37,45,1,60917.24,70.0206621232026,62,796,45144.43,2,"Female","Postgraduate","Active loan","France","0","0","High Net Worth","Divorced","0",1,FALSE,FALSE,FALSE,0
4167,2,8,19,35,0,102195.16,36.9586661385407,66,542,174894.53,1,"Female","University","No loan","Spain","1","1","Mass Market","Married","1",0,TRUE,FALSE,FALSE,1
5538,7,6,39,43,0,64679.3,142.054920623345,75,682,0,2,"Female","University","No loan","Germany","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
4799,9,8,34,67,0,99490.01,86.6670619301844,35,689,127849.38,1,"Male","University","No loan","Germany","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
3905,1,1,37,34,1,59601.15,76.1316844327071,74,612,170288.38,1,"Male","Postgraduate","Default risk","Spain","1","1","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
8962,10,9,26,44,0,196062.01,179.870078687509,77,607,0,2,"Female","High School","Active loan","France","0","0","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
4047,9,9,33,42,0,4292.72,54.8521383968424,55,674,0,2,"Female","High School","No loan","France","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
6004,2,1,22,44,2,54083.8,127.047660290442,57,476,152759,1,"Male","Postgraduate","Default risk","Germany","1","0","High Net Worth","Divorced","0",1,FALSE,FALSE,FALSE,0
7405,7,9,32,44,0,66548.58,114.410086618623,56,665,0,2,"Female","University","No loan","France","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
6207,4,6,29,29,0,6770.44,112.397832143395,57,586,0,2,"Male","High School","Active loan","France","1","1","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
6995,1,8,26,38,0,60739.16,99.828120205706,76,850,106871.81,2,"Female","University","No loan","France","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
8344,1,8,28,46,0,73470.98,107.300007342995,58,749,113402.14,2,"Male","University","No loan","Germany","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
3166,3,8,26,31,0,101617.43,112.452294821054,56,658,106070.89,1,"Male","High School","Active loan","Spain","0","1","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
3217,4,6,26,38,0,79169.73,188.70064486477,32,565,0,2,"Female","High School","Active loan","France","0","1","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
4314,9,10,33,35,0,68141.92,102.286223230178,38,658,71829.34,1,"Female","Postgraduate","Active loan","Spain","1","1","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
5629,5,9,22,24,0,71638,54.3181823343086,50,660,142989.69,1,"Male","High School","No loan","Germany","1","1","Affluent","Single","1",0,FALSE,FALSE,FALSE,0
9216,0,7,41,27,1,151912.49,83.7029152012867,86,594,156282.79,1,"Male","Postgraduate","Active loan","France","0","0","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
3588,8,8,40,50,0,196134.44,61.2605966642263,47,696,0,2,"Female","University","No loan","France","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
4599,1,8,27,40,0,120373.84,77.9931211594763,39,679,76915.4,1,"Female","University","No loan","Germany","1","1","Mass Market","Married","1",1,FALSE,FALSE,FALSE,0
7237,8,8,22,38,0,1299.75,98.5284858164105,66,700,134811.3,1,"Male","University","No loan","France","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
7818,10,10,33,46,0,176730.02,103.122837929731,47,631,88786.81,1,"Female","University","No loan","Germany","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
6937,0,10,29,32,0,78560.64,110.043317587986,61,671,177729.13,1,"Male","University","No loan","France","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
7089,10,10,31,32,0,159891.03,134.330657146128,55,566,76548.6,1,"Male","University","No loan","Spain","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
5907,5,7,29,28,1,167973.63,169.795821278769,55,489,79460.98,2,"Male","High School","Active loan","France","1","1","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
7249,0,9,37,28,0,8755.69,179.449035569488,58,677,143988,2,"Male","High School","No loan","Germany","1","0","Mass Market","Married","1",1,TRUE,FALSE,FALSE,1
3294,9,3,29,30,1,130861.95,99.2978450808561,20,592,0,2,"Female","Postgraduate","Active loan","France","1","1","High Net Worth","Divorced","0",1,TRUE,FALSE,FALSE,1
3277,1,8,38,26,0,121551.93,87.6356427166289,39,514,150300.65,2,"Male","University","No loan","France","0","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
8583,4,8,36,33,0,103931.49,69.5569180205208,60,721,72535.45,1,"Female","University","No loan","Spain","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
3041,7,8,35,42,0,39830.1,165.11955827436,59,621,0,1,"Male","University","No loan","Spain","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
9575,3,1,22,38,2,55775.72,71.2176817906782,55,587,132603.36,1,"Male","Postgraduate","Default risk","Germany","1","0","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
9234,4,10,22,40,0,26920.43,156.535603948994,38,611,55776.39,2,"Male","University","No loan","Germany","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
3316,2,3,33,35,1,106785.7,115.51157114924,67,461,147936.42,1,"Female","Postgraduate","Active loan","Spain","1","1","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
9672,3,8,38,43,0,180345.44,102.807490470432,60,616,120867.18,1,"Female","University","No loan","Spain","1","0","Mass Market","Married","1",1,FALSE,FALSE,FALSE,0
5822,3,10,32,38,0,126253.31,125.386598741813,59,678,124483.53,1,"Female","University","No loan","Spain","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
5795,3,8,25,58,0,124749.08,185.18685549043,50,684,113146.98,2,"Male","University","No loan","France","0","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
5504,5,9,42,31,0,118716.63,50.3711525168882,66,593,0,2,"Male","High School","No loan","France","0","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
9742,8,8,25,32,0,2002.5,74.2841742797474,47,629,0,2,"Female","University","No loan","Spain","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
6926,0,8,25,30,0,165196.65,74.6302290740336,56,525,157989.21,2,"Male","High School","No loan","Germany","1","1","Affluent","Single","1",0,FALSE,FALSE,FALSE,0
4183,9,1,36,31,2,14721.8,114.986746542247,55,551,0,2,"Male","Postgraduate","Default risk","Germany","1","1","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
3752,6,8,30,52,0,38984.37,101.459125745881,82,596,71283.09,2,"Female","High School","Active loan","Germany","1","1","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
6281,4,9,31,40,0,100433.83,55.0620792725163,68,501,125832.2,1,"Male","University","No loan","France","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
3374,5,5,37,40,0,175756.36,59.6582103224382,59,710,0,2,"Female","High School","Active loan","France","0","0","Affluent","Single","1",0,FALSE,FALSE,FALSE,0
9994,1,10,26,40,0,193321.3,33.6590250037629,35,739,63095.01,1,"Male","University","No loan","Spain","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
9129,5,3,28,22,1,139481.53,48.3561189384351,51,750,0,2,"Male","Postgraduate","Active loan","France","0","1","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
5082,7,10,26,33,0,111421.77,143.257055751962,73,535,115309.75,1,"Female","University","No loan","Spain","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
7612,3,9,26,37,0,113926.31,72.7347330363602,66,720,138162.41,2,"Male","University","No loan","France","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
7109,1,5,24,36,0,102021.39,230.903332480485,62,558,131698.57,2,"Female","High School","No loan","Spain","1","0","Affluent","Single","1",0,FALSE,FALSE,FALSE,0
5117,9,8,36,44,0,102628.98,60.4897546142669,63,631,0,2,"Male","High School","No loan","Spain","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
9134,1,0,30,48,3,72127.83,276.475855506388,61,543,76915.4,1,"Male","Other","Default risk","France","0","0","High Net Worth","Widowed","0",1,FALSE,TRUE,FALSE,1
9015,9,8,34,43,0,69829.4,58.4394426503104,46,687,0,1,"Female","University","No loan","France","0","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
3755,2,4,32,40,0,164170.46,72.5034730910331,64,850,124788.18,1,"Male","Postgraduate","Active loan","Spain","1","0","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
9553,6,9,26,28,0,14665.28,70.5336854380158,58,754,0,2,"Male","University","No loan","Spain","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
8428,1,1,27,38,2,53087.98,104.303806901833,55,763,0,2,"Male","Postgraduate","Default risk","Germany","0","0","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
8209,6,0,24,35,2,129964.94,89.2983780132789,80,634,0,1,"Male","Postgraduate","Default risk","Germany","1","0","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
4006,8,8,25,36,0,49653.37,94.0547431890375,40,554,155176.83,2,"Male","University","No loan","Spain","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
5585,1,6,31,29,0,196474.35,98.0759809346926,71,645,130131.08,2,"Male","High School","Active loan","France","0","1","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
5339,9,0,29,40,2,151167.94,67.4233362444286,49,744,106756.01,2,"Female","Postgraduate","Default risk","Germany","1","1","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
4448,7,6,39,54,0,172586.89,85.6938832140485,42,648,118241.02,1,"Female","Postgraduate","Active loan","France","0","0","High Net Worth","Divorced","0",1,FALSE,FALSE,FALSE,0
6952,6,9,23,29,0,80262.91,50.1024124846558,59,547,121858.98,1,"Female","High School","Active loan","France","1","1","Affluent","Single","1",0,FALSE,FALSE,FALSE,0
6980,9,10,44,39,0,100862.36,160.911744855421,78,622,0,2,"Male","University","No loan","Spain","0","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
7767,9,10,24,25,0,74692.06,115.762233359881,75,684,77886.53,2,"Male","University","No loan","France","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
9265,9,3,35,35,1,84199.78,85.3575142689584,54,676,106836.67,1,"Male","Postgraduate","Active loan","France","1","0","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
4134,2,8,27,34,0,78566.64,109.844573055782,54,444,144318.97,1,"Male","University","No loan","France","0","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
6230,5,5,26,34,0,195259.31,50.6750766771415,70,829,120018.86,2,"Male","University","No loan","Germany","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
8184,3,10,36,25,0,45424.13,182.738335740506,75,677,0,2,"Female","High School","No loan","France","1","0","Affluent","Single","1",0,FALSE,FALSE,FALSE,0
8603,9,9,29,35,0,43821.56,62.3928170763447,49,636,95478.17,1,"Female","High School","Active loan","France","0","0","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
4934,6,2,22,57,0,133537.53,137.167733989635,60,548,76165.65,2,"Male","University","No loan","France","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
4501,3,5,33,30,0,180591.32,47.7236463528399,54,811,0,2,"Male","High School","Active loan","Spain","0","1","Affluent","Single","1",0,FALSE,FALSE,FALSE,0
7576,1,1,28,37,1,21768.21,151.084403412692,90,671,86569.76,1,"Male","Postgraduate","Active loan","Spain","1","1","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
6783,9,6,37,38,0,93261.69,56.5532375426721,30,810,144090.42,1,"Female","High School","Active loan","France","1","1","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
9211,2,4,29,68,0,171340.68,77.7279811630082,54,560,183555.24,1,"Female","High School","Active loan","France","0","0","Affluent","Single","0",1,TRUE,FALSE,FALSE,1
4914,7,6,17,30,0,137791.18,195.338915585271,50,614,0,2,"Female","Postgraduate","Active loan","Spain","0","0","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
8967,7,3,34,23,1,78670.52,170.202830888622,87,756,112568.31,1,"Female","Postgraduate","Default risk","France","0","1","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
4109,8,1,25,44,1,83022.92,97.3226395752752,44,695,0,2,"Male","Postgraduate","Active loan","Germany","1","1","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
7261,6,3,36,28,1,168053.4,57.5556800053396,74,639,97840.72,1,"Female","Postgraduate","Active loan","Spain","1","1","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
4075,0,7,31,40,0,38772.65,145.87586195312,54,758,0,2,"Female","University","No loan","France","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
6146,1,8,32,32,0,127443.82,54.8001572753429,72,699,123906.22,1,"Female","University","No loan","Germany","1","1","Mass Market","Married","1",1,FALSE,FALSE,FALSE,0
4386,4,10,28,37,0,104189.46,157.201641195163,72,543,70362.52,2,"Male","University","No loan","Germany","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
5284,2,7,23,45,0,5907.11,128.919130390664,78,692,109730.22,1,"Female","University","No loan","France","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
7706,4,10,27,26,0,74425.41,33.6980621528152,70,850,123126.29,1,"Female","University","No loan","Germany","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
5378,1,4,30,42,0,38308.34,60.2431918389144,60,602,138912.17,1,"Female","High School","Active loan","Spain","1","1","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
9870,6,9,27,27,0,131924.38,167.690310185801,68,623,120509.81,1,"Male","University","No loan","France","0","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
7223,6,10,26,49,0,148804.36,133.598267297297,47,595,121973.28,1,"Male","University","No loan","France","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
7044,8,8,40,41,0,144390.75,112.698529751688,56,707,155423.17,1,"Male","University","No loan","Spain","1","0","Mass Market","Married","1",1,FALSE,FALSE,FALSE,0
5260,4,8,28,25,0,171587.9,134.591445241283,42,643,115142.9,1,"Male","High School","Active loan","Germany","1","1","Affluent","Single","1",0,FALSE,FALSE,FALSE,0
3686,8,6,33,24,0,4070.28,111.572085143284,83,742,147107.91,2,"Male","High School","Active loan","Spain","0","0","Affluent","Single","1",0,FALSE,FALSE,FALSE,0
6857,3,6,30,24,0,149614.81,139.884099276362,66,562,0,2,"Male","High School","Active loan","Germany","1","0","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
9078,5,4,31,44,0,128046.98,74.2881477485635,79,819,0,2,"Male","High School","Active loan","France","1","0","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
8027,4,10,32,29,0,128077.8,342.465233382768,56,572,61710.44,2,"Male","University","No loan","Spain","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
9387,0,4,28,35,0,145325.32,108.40673311953,41,837,166518.63,1,"Male","High School","No loan","Germany","0","1","Affluent","Single","1",0,TRUE,FALSE,FALSE,1
3847,8,4,34,25,0,176962.31,196.711231449506,23,792,98877.95,1,"Male","High School","Active loan","Spain","1","1","Affluent","Single","0",0,TRUE,FALSE,FALSE,1
7715,7,6,29,29,0,19233.41,161.865948241273,69,738,177997.07,1,"Male","High School","Active loan","Spain","0","1","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
9023,2,2,20,40,0,46415.09,199.409969227677,53,796,137388.01,2,"Male","University","No loan","Germany","0","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
7573,1,9,30,38,0,122379.54,93.4243332136436,51,706,0,2,"Male","High School","No loan","France","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
9095,3,0,29,40,3,183682.09,75.8677316859905,43,786,137361.96,1,"Male","Other","Default risk","France","0","0","High Net Worth","Widowed","0",0,FALSE,FALSE,FALSE,0
3151,8,10,37,35,0,189339.6,44.4404064779734,64,460,102742.91,2,"Female","University","No loan","Germany","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
9810,4,5,26,27,0,24093.4,66.6566967634053,58,603,98899.76,2,"Male","High School","Active loan","Germany","1","1","Affluent","Single","1",0,FALSE,FALSE,FALSE,0
4638,1,1,31,35,2,174770.14,105.765231380132,56,850,78885.88,1,"Male","Postgraduate","Active loan","Spain","0","0","High Net Worth","Divorced","0",1,FALSE,FALSE,FALSE,0
5208,4,1,28,37,2,198252.88,93.7513861516697,58,670,170557.91,2,"Male","Postgraduate","Default risk","France","0","1","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
9299,8,10,29,41,0,20491.15,296.842081525624,73,521,133111.73,1,"Male","High School","No loan","Germany","0","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
5474,6,9,26,27,0,172031.22,59.1872278392739,63,600,0,2,"Female","University","No loan","Spain","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
4029,7,10,32,28,0,122190.22,66.9514464785013,68,418,98738.92,1,"Male","University","No loan","France","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
3326,0,6,32,23,0,49872.33,96.0774460801896,77,595,0,2,"Male","University","No loan","Spain","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
6856,10,9,22,39,0,153015.42,66.0930131924283,64,510,0,2,"Male","University","No loan","Spain","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
5837,4,7,27,26,1,60887.58,92.3247020342736,51,646,139848.17,1,"Male","Postgraduate","Active loan","France","1","0","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
4956,8,10,14,42,0,159254.29,88.3380138067116,69,546,122647.32,1,"Male","University","No loan","France","1","0","Mass Market","Married","1",0,TRUE,FALSE,FALSE,1
8358,8,4,24,56,0,29880.99,43.6536842480837,64,793,165526.71,1,"Male","University","No loan","France","0","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
8884,1,0,29,43,3,77500.81,101.995991929684,59,603,0,2,"Male","Other","Default risk","France","1","0","High Net Worth","Widowed","0",0,FALSE,FALSE,FALSE,0
7093,3,3,32,39,1,188366.04,61.3471904420197,61,557,118336.14,1,"Female","Postgraduate","Active loan","France","1","0","High Net Worth","Divorced","0",0,FALSE,FALSE,FALSE,0
8459,1,8,24,64,0,41800.18,198.485835272273,49,647,91216,1,"Female","University","No loan","Spain","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
3985,5,8,25,40,0,77414.45,44.9346888742745,44,706,0,2,"Male","University","No loan","France","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
9183,9,10,37,56,0,39488.04,95.3570108041784,38,850,142147.32,1,"Male","High School","Active loan","France","0","0","Affluent","Single","0",1,FALSE,FALSE,FALSE,0
3986,2,8,42,30,0,19500.1,82.3942190034438,65,710,0,2,"Female","High School","No loan","France","1","0","Affluent","Single","1",0,FALSE,FALSE,FALSE,0
7233,9,6,38,31,0,137835.82,69.261724572429,72,850,122550.05,2,"Female","University","No loan","France","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
5503,1,4,27,35,0,152541.89,74.1885674993927,78,603,123407.69,1,"Male","University","No loan","France","1","0","Mass Market","Married","1",1,FALSE,FALSE,FALSE,0
4762,8,9,26,27,0,188007.99,60.1389851224241,48,663,133003.03,1,"Female","University","No loan","Spain","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
4584,1,8,24,33,0,39511.61,72.7244977911577,67,553,142876.98,2,"Female","University","No loan","Spain","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
7685,4,10,28,36,0,160696.72,91.9299579345107,72,743,0,1,"Female","University","No loan","France","0","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
7084,5,8,30,50,0,192146.63,55.7398027338432,82,579,117721.02,1,"Female","University","No loan","Germany","1","1","Mass Market","Married","1",1,FALSE,FALSE,FALSE,0
8999,5,10,30,32,0,68141.92,167.86181956045,85,706,0,2,"Female","University","No loan","Spain","1","0","Mass Market","Married","1",1,FALSE,FALSE,FALSE,0
5087,7,5,30,33,0,136540.09,64.0537955212228,49,639,89939.62,1,"Female","High School","Active loan","France","1","0","Affluent","Single","1",0,FALSE,FALSE,FALSE,0
5244,3,4,29,27,0,131647.31,147.334512187635,50,546,132837.7,1,"Female","University","No loan","Germany","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
4793,6,4,30,35,0,176962.31,171.581219619005,76,690,0,1,"Male","High School","Active loan","France","0","0","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
7776,1,6,33,33,0,176728.28,175.671348306561,71,543,0,1,"Male","High School","Active loan","France","1","0","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
8726,3,8,37,44,0,126471.13,140.650032228092,70,471,142802.02,1,"Male","University","No loan","France","1","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
