"ID","X","Tenure","NetPromoterScore","TransactionFrequency","Age","ComplaintsCount","EstimatedSalary","AvgTransactionAmount","DigitalEngagementScore","CreditScore","Balance","NumOfProducts","Exited","Gender","EducationLevel","LoanStatus","Geography","HasCrCard","IsActiveMember","CustomerSegment","MaritalStatus","SavingsAccountFlag"
4006,92,1,9,36,36,0,49653.37,94.0547431890375,40,650,155176.83,2,0,"Male","University","No loan","France","1","1","Mass Market","Married","1"
5585,93,1,6,31,29,0,196474.35,98.0759809346926,71,645,130131.08,2,0,"Male","High School","Active loan","France","0","1","Affluent","Single","0"
5339,94,8,0,29,40,2,151167.94,235.943056985872,49,632,106756.01,2,0,"Female","Postgraduate","Default risk","Germany","1","0","High Net Worth","Divorced","0"
4448,95,7,8,39,54,0,172586.89,118.410395935498,42,648,118241.02,1,1,"Female","Postgraduate","Active loan","France","0","0","High Net Worth","Divorced","0"
6952,96,3,10,23,42,0,80262.91,50.1024124846558,59,547,111348.15,1,0,"Male","High School","Active loan","France","1","1","Affluent","Single","1"
6358,97,4,1,34,29,1,88550.28,364.059368424988,99,674,160389.82,1,0,"Female","Postgraduate","Active loan","France","1","0","High Net Worth","Divorced","0"
6980,98,9,10,44,39,0,100862.36,160.911744855421,78,622,0,2,0,"Male","University","No loan","Spain","0","1","Mass Market","Married","1"
7767,99,7,10,24,25,0,4092.75,115.762233359881,61,666,77886.53,2,0,"Male","University","No loan","France","1","0","Mass Market","Married","1"
9265,100,8,3,20,35,1,84199.78,85.3575142689584,54,676,106836.67,2,0,"Male","Postgraduate","Active loan","France","1","1","High Net Worth","Divorced","0"
4134,101,2,8,25,34,0,1055.66,109.844573055782,37,444,144318.97,1,0,"Male","University","No loan","France","1","1","Mass Market","Married","1"
6230,102,9,8,26,34,0,51548.14,50.6750766771415,70,600,120018.86,2,0,"Female","University","No loan","Germany","1","1","Mass Market","Married","1"
8184,103,3,8,36,25,0,113695.99,182.738335740506,70,677,0,2,0,"Female","High School","No loan","France","1","0","Affluent","Single","1"
8603,104,9,10,29,35,0,43889.41,62.3928170763447,49,636,95478.17,1,0,"Male","High School","Active loan","France","0","0","Affluent","Single","0"
4934,105,6,9,22,57,0,133537.53,137.167733989635,60,548,76165.65,1,0,"Female","University","No loan","France","1","1","Mass Market","Married","1"
4501,106,2,5,33,30,0,180591.32,47.7236463528399,54,811,0,2,0,"Male","High School","Active loan","Germany","1","1","Affluent","Single","1"
7576,107,1,1,28,49,1,21768.21,151.084403412692,90,671,65521.2,1,0,"Male","Postgraduate","Active loan","Spain","1","1","High Net Worth","Divorced","0"
6783,108,9,6,37,38,0,93261.69,56.5532375426721,30,810,137494.28,1,0,"Female","High School","Active loan","France","1","1","Affluent","Single","1"
9211,109,2,4,29,68,0,47114.18,77.7279811630082,54,517,183555.24,1,1,"Female","High School","Active loan","Germany","0","0","Affluent","Single","0"
4914,110,7,6,17,26,0,137791.18,195.338915585271,33,614,82506.72,2,0,"Female","High School","Active loan","Spain","0","0","Affluent","Single","0"
8967,111,3,3,23,23,1,127543.81,170.202830888622,87,756,112568.31,1,0,"Female","Postgraduate","Active loan","France","0","1","High Net Worth","Divorced","0"
4109,112,8,1,25,44,1,65868.28,97.3226395752752,44,695,0,2,0,"Male","Postgraduate","Active loan","France","1","1","High Net Worth","Divorced","0"
7261,113,6,3,36,28,1,166682.57,75.3083637051033,68,639,97840.72,2,0,"Female","Postgraduate","Active loan","Spain","1","0","High Net Worth","Divorced","0"
4075,114,0,8,31,37,0,38772.65,145.87586195312,54,749,0,2,0,"Male","University","No loan","France","1","1","Mass Market","Married","1"
6146,115,1,8,32,32,0,127443.82,151.336791494056,72,699,123906.22,1,1,"Male","University","No loan","Germany","1","1","Mass Market","Married","1"
4386,116,4,10,28,28,0,104189.46,157.201641195163,72,699,70362.52,2,0,"Male","University","No loan","Germany","1","0","Mass Market","Married","1"
5284,117,2,8,23,45,0,32319.93,198.116372832767,78,652,109730.22,1,0,"Female","University","No loan","France","1","1","Mass Market","Married","1"
7706,118,0,10,39,26,0,74425.41,171.447576847017,43,850,123126.29,1,0,"Female","University","No loan","France","1","1","Mass Market","Married","1"
5378,119,1,4,30,42,0,74898.8,60.2431918389144,60,602,138912.17,1,0,"Male","High School","No loan","Spain","1","1","Affluent","Single","1"
9870,120,8,8,27,27,0,137452.57,61.659053527035,68,623,120509.81,1,0,"Male","University","No loan","France","0","0","Mass Market","Married","1"
7223,121,4,10,23,49,0,148804.36,133.598267297297,47,592,121973.28,2,0,"Male","High School","No loan","France","1","0","Mass Market","Married","1"
7044,122,8,9,40,46,0,75084.96,37.8421318213248,62,707,144900.58,1,1,"Male","University","No loan","Spain","1","1","Mass Market","Married","1"
5260,123,4,2,28,25,0,105433.53,41.8335946039728,42,643,115142.9,1,0,"Male","High School","Active loan","Germany","1","1","Affluent","Single","1"
3686,124,8,6,33,24,0,4070.28,96.3533060040877,83,742,167949.48,1,0,"Male","High School","Active loan","Spain","1","0","Affluent","Single","0"
6857,125,3,6,30,42,0,185667.72,139.884099276362,40,562,0,2,0,"Male","High School","Active loan","Spain","1","0","Affluent","Single","1"
9078,126,5,4,31,44,0,128046.98,74.2881477485635,79,753,0,2,0,"Male","High School","Active loan","France","1","0","Affluent","Single","0"
8027,127,6,10,24,29,0,128077.8,342.465233382768,48,841,61710.44,1,0,"Male","University","No loan","Spain","1","0","Mass Market","Married","1"
9387,128,0,1,28,35,1,145325.32,97.5692976617221,41,837,81905.95,1,0,"Male","High School","No loan","Germany","1","0","Affluent","Single","1"
3847,129,8,4,34,25,0,182988.94,196.711231449506,23,792,86167.82,1,0,"Male","High School","Active loan","Spain","1","1","Affluent","Single","0"
3983,130,0,8,29,40,0,176137.2,72.0057862440666,20,848,110929.96,1,0,"Male","High School","No loan","Spain","1","1","Mass Market","Married","1"
7715,131,6,6,29,31,0,19233.41,61.2152352994805,69,738,177997.07,1,0,"Male","High School","Active loan","Spain","0","1","Affluent","Single","0"
9023,132,2,9,27,40,0,46415.09,91.8228870792585,86,796,101126.66,2,0,"Female","University","No loan","Germany","1","1","Mass Market","Married","1"
7573,133,1,9,30,38,0,122379.54,107.705080175149,51,706,0,2,0,"Male","High School","No loan","France","1","0","Mass Market","Married","1"
9095,134,5,0,29,28,3,183682.09,183.858451877396,63,786,137361.96,1,0,"Male","Other","Default risk","France","0","0","High Net Worth","Widowed","0"
3151,135,8,10,37,35,0,189339.6,44.4404064779734,62,460,102742.91,2,0,"Female","University","No loan","Germany","1","1","Mass Market","Married","1"
9810,136,4,5,26,36,0,166694.93,66.6566967634053,58,603,98899.76,1,0,"Male","Postgraduate","Active loan","France","1","1","High Net Worth","Single","1"
4638,137,1,1,31,35,2,174770.14,105.765231380132,80,553,126597.89,2,1,"Male","Postgraduate","Default risk","Spain","0","0","High Net Worth","Divorced","0"
5208,138,4,1,21,37,2,198252.88,93.7513861516697,58,670,170557.91,2,0,"Male","Postgraduate","Default risk","France","1","1","High Net Worth","Divorced","0"
9299,139,8,8,29,41,0,20491.15,296.842081525624,73,521,100829.94,1,0,"Male","High School","No loan","Germany","0","0","Mass Market","Married","1"
5474,140,6,9,26,27,0,172031.22,59.1872278392739,63,600,0,2,0,"Female","University","No loan","Spain","0","1","Mass Market","Married","1"
4029,141,7,10,32,28,0,122190.22,72.4691667643314,83,418,98738.92,1,0,"Male","University","No loan","France","1","0","Mass Market","Married","1"
3326,142,10,9,32,23,0,85167.88,188.3819273094,77,595,0,2,0,"Male","University","No loan","Spain","1","1","Mass Market","Married","1"
6856,143,10,9,22,36,0,153015.42,139.839978226132,63,788,0,2,0,"Male","University","No loan","Spain","1","0","Mass Market","Married","1"
5837,144,4,7,27,26,1,118142.79,128.988232161208,60,646,139848.17,2,0,"Male","Postgraduate","Active loan","France","1","0","High Net Worth","Divorced","0"
4956,145,8,10,14,39,0,159254.29,133.966862529577,69,546,0,1,0,"Male","University","No loan","Germany","1","0","Mass Market","Married","1"
8358,146,8,10,24,56,0,29880.99,43.6536842480837,64,793,0,2,0,"Male","High School","No loan","France","1","0","Mass Market","Married","1"
8884,147,6,0,29,28,3,35982.42,101.995991929684,63,603,0,2,0,"Male","Other","Default risk","France","1","0","High Net Worth","Widowed","0"
7093,148,3,3,32,39,1,101704.19,182.120253407186,65,578,118336.14,1,0,"Female","Postgraduate","Active loan","France","1","0","High Net Worth","Divorced","0"
8459,149,1,8,24,64,0,41800.18,198.485835272273,49,647,91216,1,0,"Female","University","No loan","Spain","1","1","Mass Market","Married","1"
3985,150,5,8,25,33,0,77414.45,104.848493823567,46,667,120193.42,2,0,"Male","University","No loan","France","1","1","Mass Market","Married","1"
9183,151,9,8,37,56,0,39488.04,95.3570108041784,38,583,142147.32,1,1,"Male","High School","Active loan","France","0","0","Affluent","Single","0"
3986,152,5,7,42,30,0,19500.1,111.645989253062,57,710,0,1,0,"Female","University","No loan","France","1","0","Mass Market","Married","1"
7233,153,9,5,30,32,0,137835.82,214.010174019936,72,715,122550.05,2,0,"Male","University","No loan","France","1","1","Mass Market","Married","1"
5503,154,1,10,27,35,0,152541.89,119.263494201117,75,603,123407.69,1,1,"Male","University","No loan","France","1","0","Mass Market","Married","1"
4762,155,8,9,26,27,0,188007.99,60.1389851224241,48,663,0,1,0,"Female","University","No loan","Spain","1","1","Mass Market","Married","1"
4584,156,1,8,24,24,0,42537.59,72.7244977911577,67,553,142876.98,2,0,"Female","University","No loan","Spain","1","0","Mass Market","Married","1"
7685,157,8,10,28,36,0,160696.72,67.443010800605,72,590,0,1,0,"Male","University","No loan","Spain","1","1","Mass Market","Married","1"
7084,158,5,8,30,50,0,192146.63,55.7398027338432,82,579,117721.02,1,1,"Female","University","No loan","France","1","1","Mass Market","Married","1"
8999,159,7,10,30,35,0,186490.37,158.318389971425,85,731,123276.69,1,1,"Female","University","No loan","Spain","1","0","Mass Market","Married","1"
5087,160,7,5,30,33,0,136540.09,64.0537955212228,49,609,89939.62,1,0,"Female","High School","No loan","France","1","0","Affluent","Single","1"
5244,161,3,6,31,31,0,131647.31,147.334512187635,68,546,132837.7,2,0,"Male","University","No loan","Germany","1","1","Mass Market","Married","1"
4793,162,6,4,30,35,0,176962.31,171.581219619005,76,690,135847.47,1,0,"Male","High School","Active loan","France","0","0","Affluent","Single","0"
7776,163,9,6,33,31,0,176728.28,175.671348306561,71,543,0,2,0,"Male","High School","Active loan","France","1","0","Affluent","Single","0"
8726,164,3,10,37,57,0,146752.67,140.650032228092,70,531,190566.65,1,0,"Male","University","No loan","Spain","0","1","Mass Market","Married","1"
9644,165,5,3,29,38,1,71905.77,88.3355205327066,55,590,130878.75,3,1,"Female","Postgraduate","Active loan","Germany","1","0","High Net Worth","Divorced","0"
9851,166,6,0,34,24,3,169505.83,39.1122120466697,64,479,107637.97,2,0,"Male","University","No loan","Germany","1","1","Mass Market","Married","1"
4808,167,8,10,25,38,0,99106.97,124.632271859076,72,589,92219.21,1,0,"Male","University","No loan","Spain","1","0","Mass Market","Married","1"
3344,168,8,9,22,66,0,121904.44,77.6263020248394,69,557,112528.65,1,0,"Male","High School","No loan","France","1","0","Mass Market","Married","1"
5507,169,4,10,32,30,0,157891.86,236.855022965346,65,775,125385.01,1,0,"Male","University","No loan","Spain","1","0","Mass Market","Married","1"
5992,170,10,6,36,32,0,22487.45,42.7258092667604,58,665,74812.84,1,0,"Male","High School","Active loan","Spain","1","1","Affluent","Single","1"
6092,171,7,9,21,26,0,140130.22,130.696810102282,76,565,135369.71,1,0,"Male","High School","No loan","France","0","1","Affluent","Single","1"
3195,172,7,8,27,34,0,56646.28,141.776108058478,89,626,130788.71,1,0,"Male","High School","No loan","France","1","1","Mass Market","Married","1"
8981,173,5,1,31,36,2,33075.24,92.4322082457552,86,747,68806.84,1,0,"Female","Postgraduate","Default risk","Germany","1","0","High Net Worth","Divorced","0"
6236,174,7,10,40,47,0,157959.02,232.8583365047,79,668,106854.21,1,1,"Male","University","No loan","France","0","1","Mass Market","Married","1"
6124,175,1,10,39,35,0,145338.61,135.88450416436,79,638,0,2,0,"Male","University","No loan","France","1","1","Mass Market","Married","1"
7972,176,9,7,26,38,0,79134.78,108.658978662489,60,570,127201.58,1,1,"Male","High School","Active loan","Germany","1","0","Affluent","Single","0"
9678,177,2,0,41,38,2,140579.17,59.7110379883067,62,753,0,2,0,"Male","Postgraduate","Active loan","France","1","0","High Net Worth","Divorced","0"
5225,178,6,8,35,30,0,17004.14,60.582224563113,81,485,0,2,0,"Male","University","No loan","France","0","1","Mass Market","Married","1"
7650,179,5,9,36,27,0,110784.42,207.245766897789,33,583,133964.3,1,0,"Female","University","No loan","Spain","1","1","Mass Market","Married","1"
5875,180,3,10,29,28,0,13182.43,57.431527069626,55,766,62717.84,1,0,"Female","University","No loan","Germany","1","1","Mass Market","Married","1"
5132,181,2,10,31,37,0,16733.59,98.2007943972664,60,655,0,2,0,"Female","University","No loan","France","1","0","Mass Market","Married","1"
8643,182,8,8,44,61,0,139861.53,169.101900585521,51,759,0,2,0,"Female","University","No loan","Spain","0","1","Mass Market","Married","1"
9777,183,5,4,36,33,0,33391.38,66.8388938318063,48,757,77253.22,1,0,"Male","High School","No loan","Spain","0","1","Affluent","Single","1"
7023,184,1,6,28,36,0,96051.1,55.1863431222177,44,683,100895.54,1,0,"Male","High School","Active loan","France","0","1","Affluent","Single","0"
6464,185,9,10,23,43,0,2803.89,89.0420794164789,64,518,85146.36,1,0,"Female","University","No loan","France","0","0","Mass Market","Married","1"
4326,186,9,8,28,40,0,141210.5,70.4989772706416,50,543,0,2,0,"Male","University","No loan","France","1","0","Mass Market","Married","1"
9741,187,2,8,31,43,0,111249.62,82.1598661042357,22,601,141859.12,2,0,"Female","University","No loan","Germany","1","1","Mass Market","Married","1"
6949,188,6,8,29,31,0,150266.81,65.2822620947719,51,616,0,2,0,"Female","University","No loan","Germany","0","0","Mass Market","Married","1"
7802,189,2,0,25,31,3,54487.43,59.3270566430225,40,428,0,2,0,"Female","Other","Default risk","France","1","0","High Net Worth","Widowed","0"
5667,190,10,8,27,38,0,74846.67,129.80077573262,54,648,82697.28,1,0,"Male","University","No loan","France","0","0","Mass Market","Married","1"
6502,191,9,5,40,29,0,80393.27,114.328260464334,53,707,0,1,0,"Male","High School","Active loan","Spain","1","0","Affluent","Single","0"
5758,192,0,9,30,32,0,112340.2,117.514927078603,66,664,116377.48,1,0,"Female","University","No loan","France","1","1","Mass Market","Married","1"
6833,193,2,8,35,34,0,70403.65,144.714082534801,54,724,85200.82,2,0,"Male","High School","No loan","France","0","1","Affluent","Single","1"
3712,194,9,3,31,32,1,103511.26,51.7052760938394,58,691,163965.69,2,0,"Female","University","No loan","Germany","0","0","Mass Market","Married","1"
