"ID","Tenure","NetPromoterScore","TransactionFrequency","Age","ComplaintsCount","EstimatedSalary","AvgTransactionAmount","DigitalEngagementScore","CreditScore","Balance","NumOfProducts","Gender","EducationLevel","LoanStatus","Geography","HasCrCard","IsActiveMember","CustomerSegment","MaritalStatus","SavingsAccountFlag","Exited"
8769,5,9,23,24,0,80215.2,93.921971054811,56,765,102773.2,2,"Male","High School","No loan","Germany","1","0","Mass Market","Married","1",1
4790,10,9,27,48,0,85081.09,122.086035746322,38,530,0,1,"Female","University","No loan","France","1","0","Mass Market","Married","1",0
7307,2,4,42,35,0,198802.9,107.237801071328,28,643,108601,1,"Female","High School","Active loan","Germany","0","1","Affluent","Single","0",0
5980,8,8,25,45,0,95007.8,113.865201595426,52,504,206663.75,1,"Male","University","No loan","France","0","0","Mass Market","Married","1",0
4614,3,10,23,41,0,9201.53,90.1323744574138,49,579,141749.68,1,"Male","University","No loan","Germany","0","1","Mass Market","Married","1",0
9737,8,9,23,25,0,22745.5,60.3287869776042,60,657,171770.55,1,"Male","University","No loan","France","1","0","Mass Market","Married","1",0
3555,0,0,30,36,3,99019.65,221.819127804755,51,689,163159.85,1,"Female","Postgraduate","Default risk","Germany","1","1","High Net Worth","Divorced","0",0
8991,3,4,36,34,0,183235.33,50.8633570350087,37,655,0,2,"Female","University","No loan","France","1","0","Mass Market","Married","1",0
7469,4,7,30,45,0,60917.24,70.0206621232026,45,686,45144.43,1,"Female","Postgraduate","Active loan","France","1","1","High Net Worth","Divorced","0",1
4167,1,8,31,35,0,31580.8,36.9586661385407,66,542,174894.53,1,"Female","University","No loan","Spain","0","0","Mass Market","Married","1",0
5592,8,5,33,74,0,66732.63,106.196070203679,84,546,123403.85,2,"Female","High School","Active loan","Germany","1","0","Affluent","Single","1",1
5538,7,9,39,43,0,64679.3,142.054920623345,75,682,154206.07,2,"Female","University","No loan","Germany","1","1","Mass Market","Married","1",0
4799,9,8,32,67,0,99490.01,86.6670619301844,35,689,145150.28,1,"Male","University","No loan","Germany","1","1","Mass Market","Married","1",0
3905,7,1,37,38,1,59601.15,76.1316844327071,74,612,170288.38,1,"Male","Postgraduate","Default risk","Spain","1","1","High Net Worth","Divorced","0",0
8962,3,10,43,31,0,196062.01,179.870078687509,59,607,0,2,"Female","High School","Active loan","Spain","0","0","Affluent","Single","0",0
4047,9,9,33,42,0,4292.72,54.8521383968424,34,674,0,2,"Female","High School","No loan","France","1","0","Mass Market","Married","1",0
6004,9,1,22,38,2,196853.11,127.047660290442,57,720,152759,1,"Male","Postgraduate","Default risk","Germany","1","0","High Net Worth","Divorced","0",1
7405,7,9,32,44,0,66548.58,114.410086618623,75,665,0,2,"Female","University","No loan","France","0","0","Mass Market","Married","1",0
6207,10,6,29,29,0,6770.44,165.7477450766,57,705,0,2,"Male","High School","Active loan","Germany","1","1","Affluent","Single","0",0
6995,1,8,26,38,0,39016.43,99.828120205706,76,850,106871.81,2,"Female","University","No loan","France","1","0","Mass Market","Married","1",0
8344,5,8,34,46,0,73470.98,145.751809319491,51,749,118886.55,1,"Male","University","No loan","Germany","1","1","Mass Market","Married","1",0
3166,3,9,26,33,0,101617.43,81.7122063914648,56,623,106070.89,1,"Male","High School","Active loan","Spain","0","1","Affluent","Single","0",0
3217,2,6,26,38,0,120790.02,188.70064486477,32,565,0,2,"Male","High School","Active loan","France","0","1","Affluent","Single","0",0
4314,9,10,33,35,0,68141.92,102.286223230178,38,658,71829.34,1,"Female","Postgraduate","Active loan","Spain","1","1","High Net Worth","Divorced","0",0
5629,5,9,22,24,0,71638,54.3181823343086,50,660,127862.93,1,"Male","High School","No loan","Germany","1","1","Affluent","Single","1",0
9216,0,3,41,27,1,151912.49,83.7029152012867,86,594,106059.4,1,"Male","Postgraduate","Active loan","France","0","0","High Net Worth","Divorced","0",0
3588,8,8,40,40,0,196134.44,61.2605966642263,47,696,0,2,"Female","University","No loan","France","1","1","Mass Market","Married","1",0
4599,1,8,27,40,0,120373.84,77.9931211594763,39,620,117300.02,1,"Female","High School","No loan","Germany","1","1","Mass Market","Married","1",1
7237,9,8,34,38,0,1299.75,98.5284858164105,66,700,134811.3,1,"Male","University","No loan","France","1","0","Mass Market","Married","1",0
7818,10,10,27,60,0,176730.02,103.122837929731,31,631,82373.94,1,"Male","University","No loan","France","1","1","Mass Market","Married","1",0
6937,7,10,29,32,0,35786.76,110.043317587986,61,555,177729.13,1,"Male","High School","No loan","France","1","1","Mass Market","Married","1",0
7089,10,10,21,32,0,159891.03,134.330657146128,55,566,115341.19,1,"Male","University","No loan","Spain","1","1","Mass Market","Married","1",0
5907,8,7,30,28,0,167973.63,169.795821278769,55,489,79460.98,2,"Male","High School","Active loan","France","1","1","Affluent","Single","0",0
7249,0,9,37,28,0,8755.69,60.2431918389144,58,677,143988,2,"Male","High School","No loan","Germany","1","0","Mass Market","Married","1",1
3294,8,3,38,34,1,188187.05,99.2978450808561,90,718,0,1,"Female","Postgraduate","Active loan","France","1","1","High Net Worth","Divorced","0",1
3277,1,8,38,26,0,121551.93,87.6356427166289,39,514,0,2,"Male","University","No loan","Germany","0","0","Mass Market","Married","1",0
8583,4,8,35,33,0,103931.49,97.3027134555793,82,721,72535.45,1,"Female","University","No loan","Spain","1","1","Mass Market","Married","1",0
3041,7,8,35,42,0,39830.1,228.700579813225,59,493,98710.89,1,"Male","University","No loan","Spain","1","0","Mass Market","Married","1",0
9575,8,1,22,38,2,55775.72,71.2176817906782,55,587,132603.36,1,"Male","Postgraduate","Default risk","Germany","1","0","High Net Worth","Divorced","0",0
9234,4,10,22,27,0,26920.43,116.817650668344,38,702,55776.39,2,"Female","High School","No loan","France","1","0","Mass Market","Married","1",0
3316,9,3,33,35,1,106785.7,115.51157114924,67,651,147936.42,1,"Female","Postgraduate","Active loan","Spain","1","1","High Net Worth","Divorced","0",0
9672,3,8,38,43,0,190263.78,102.807490470432,60,616,120867.18,1,"Female","University","No loan","Spain","1","0","Mass Market","Married","1",1
5822,3,10,32,38,0,126253.31,125.386598741813,59,678,124483.53,1,"Male","University","No loan","Spain","1","0","Mass Market","Married","1",0
5795,3,8,25,40,0,124749.08,101.07740191108,54,567,113146.98,1,"Male","University","No loan","France","0","1","Mass Market","Married","1",0
5504,6,9,42,31,0,147100.72,50.3711525168882,56,593,62610.96,2,"Male","University","No loan","France","0","1","Mass Market","Married","1",0
9742,4,8,25,32,0,49872.33,74.2841742797474,47,629,0,2,"Female","University","No loan","France","1","0","Mass Market","Married","1",0
6926,0,9,25,30,0,165035.17,74.6302290740336,56,525,157989.21,2,"Male","High School","No loan","France","0","1","Affluent","Single","1",0
4183,9,1,36,31,2,170426.65,114.986746542247,55,551,134542.73,2,"Male","Postgraduate","Default risk","Germany","1","1","High Net Worth","Divorced","0",0
3752,6,7,30,52,0,38984.37,101.459125745881,41,659,71283.09,2,"Female","High School","Active loan","Germany","0","1","Affluent","Single","0",0
6281,4,9,27,40,0,100433.83,55.0620792725163,68,501,125832.2,1,"Male","University","No loan","France","1","1","Mass Market","Married","1",0
3374,3,5,37,40,0,145704.19,59.6582103224382,59,710,110495.27,2,"Male","High School","Active loan","France","0","0","Affluent","Single","1",0
9994,1,10,26,40,0,193321.3,33.6590250037629,35,739,89685.92,1,"Male","University","No loan","Spain","1","0","Mass Market","Married","1",0
9129,5,3,28,22,1,76515.79,48.3561189384351,51,750,0,2,"Male","Postgraduate","Active loan","France","0","1","High Net Worth","Divorced","0",0
5082,7,10,26,40,0,111421.77,99.894874691374,73,535,115309.75,1,"Female","University","No loan","Spain","1","1","Mass Market","Married","1",0
7612,2,9,26,37,0,113926.31,64.0989373500349,66,709,138162.41,1,"Male","University","No loan","France","1","1","Mass Market","Married","1",0
7109,1,5,27,36,0,102021.39,230.903332480485,49,786,178074.33,1,"Male","High School","No loan","Spain","1","1","Affluent","Single","1",0
5117,9,7,36,44,0,117323.31,60.4897546142669,63,562,0,2,"Male","High School","No loan","Spain","1","0","Affluent","Single","1",0
9134,1,0,30,48,3,144680.18,276.475855506388,44,543,122950.31,1,"Male","Other","Default risk","France","0","0","High Net Worth","Widowed","0",1
9015,9,8,34,58,0,69829.4,128.2682072956,46,687,0,1,"Female","University","No loan","France","0","0","Mass Market","Married","1",0
3755,1,4,32,40,0,6795.61,124.097096326896,64,850,124788.18,1,"Male","Postgraduate","Active loan","Germany","1","0","High Net Worth","Divorced","0",0
9553,6,5,26,28,0,14665.28,70.5336854380158,58,771,0,2,"Female","University","No loan","Spain","1","0","Mass Market","Married","1",0
8428,1,1,24,38,2,141210.5,104.303806901833,55,779,0,2,"Male","Postgraduate","Default risk","Spain","0","1","High Net Worth","Divorced","0",0
8209,6,1,27,35,2,129964.94,89.2983780132789,80,634,79962.92,2,"Male","Postgraduate","Default risk","Germany","1","0","High Net Worth","Divorced","0",0
4006,1,6,23,36,0,49653.37,94.0547431890375,40,607,155176.83,2,"Male","University","No loan","Spain","1","1","Mass Market","Married","1",0
5585,1,6,31,29,0,196474.35,98.0759809346926,71,645,130131.08,2,"Male","High School","Active loan","France","0","1","Affluent","Single","0",0
5339,5,0,29,40,2,151167.94,53.0288284645216,49,528,106756.01,2,"Female","Postgraduate","Default risk","Germany","1","1","High Net Worth","Divorced","0",0
4448,7,8,39,54,0,172586.89,119.400468509258,42,648,118241.02,1,"Female","Postgraduate","Active loan","Spain","1","0","High Net Worth","Divorced","0",1
6952,1,8,23,29,0,80262.91,50.1024124846558,59,547,80002.33,1,"Female","High School","Active loan","France","0","1","Affluent","Single","0",0
6358,4,3,28,29,1,132943.88,364.059368424988,99,669,0,1,"Female","Postgraduate","Active loan","France","1","0","High Net Worth","Divorced","0",0
6980,9,10,44,39,0,100862.36,160.911744855421,78,622,0,2,"Male","University","No loan","Spain","0","1","Mass Market","Married","1",0
7767,4,10,24,25,0,134794.02,115.762233359881,60,603,77886.53,2,"Male","University","No loan","France","1","0","Mass Market","Married","1",0
9265,0,3,47,35,1,84199.78,85.3575142689584,54,676,106836.67,1,"Male","Postgraduate","Active loan","France","1","0","High Net Worth","Divorced","0",0
4134,2,8,31,34,0,159508.52,109.844573055782,53,444,144318.97,1,"Male","University","No loan","France","1","1","Mass Market","Married","1",0
6230,6,10,26,34,0,69759.91,50.6750766771415,70,717,120018.86,2,"Male","University","No loan","Germany","1","1","Mass Market","Married","1",0
8184,3,4,36,25,0,91423.69,182.738335740506,40,677,0,2,"Female","High School","No loan","France","1","0","Affluent","Single","1",0
8603,9,2,29,35,0,64327.26,62.3928170763447,49,636,95478.17,1,"Male","High School","Active loan","France","0","0","Affluent","Single","0",0
4934,6,8,22,57,0,133537.53,137.167733989635,60,548,76165.65,2,"Male","University","No loan","France","1","1","Mass Market","Married","1",0
4501,5,5,33,30,0,180591.32,47.7236463528399,54,811,0,2,"Male","High School","Active loan","Spain","1","1","Affluent","Single","1",0
7576,1,1,28,27,1,21768.21,151.084403412692,90,671,0,1,"Male","Postgraduate","Active loan","Spain","1","1","High Net Worth","Divorced","0",0
6783,9,6,37,38,0,93261.69,56.5532375426721,30,810,148143.84,1,"Female","High School","Active loan","France","1","1","Affluent","Single","1",0
9211,2,4,29,68,0,138504.28,77.7279811630082,54,628,183555.24,1,"Female","High School","Active loan","France","0","0","Affluent","Single","0",1
4914,7,6,17,37,0,137791.18,195.338915585271,59,614,187013.13,2,"Female","High School","Active loan","Spain","0","0","Affluent","Single","0",0
8967,3,3,23,23,1,168290.06,170.202830888622,87,756,112568.31,1,"Female","Postgraduate","Default risk","France","1","1","High Net Worth","Divorced","0",0
4109,8,1,25,44,1,100187.43,97.3226395752752,44,695,97819.36,1,"Male","Postgraduate","Active loan","France","1","1","High Net Worth","Divorced","0",0
7261,4,3,36,28,1,69586.27,83.3313988248965,64,639,97840.72,2,"Female","Postgraduate","Active loan","Spain","1","1","High Net Worth","Divorced","0",0
4075,0,9,31,43,0,38772.65,145.87586195312,54,621,0,2,"Female","University","No loan","France","1","1","Mass Market","Married","1",0
6146,1,7,32,32,0,127443.82,79.5477652130289,72,699,123906.22,1,"Male","University","No loan","Germany","1","1","Mass Market","Married","1",1
4386,4,10,28,54,0,104189.46,157.201641195163,60,654,70362.52,2,"Male","University","No loan","Germany","1","1","Mass Market","Married","1",0
5284,2,5,23,45,0,78650.95,119.700743242933,78,749,109730.22,1,"Female","University","No loan","France","1","1","Mass Market","Married","1",0
7706,4,10,33,26,0,74425.41,100.642895530514,60,850,123126.29,1,"Female","University","No loan","France","1","1","Mass Market","Married","1",0
5378,1,4,30,42,0,185667.72,60.2431918389144,60,602,138912.17,1,"Female","High School","Active loan","Spain","0","0","Affluent","Single","0",0
9870,4,9,27,27,0,88481.32,67.7935056024399,68,623,120509.81,1,"Male","University","No loan","France","0","0","Mass Market","Married","1",0
7223,8,10,33,49,0,148804.36,133.598267297297,47,678,121973.28,4,"Male","University","No loan","France","1","0","Mass Market","Married","1",0
7044,8,9,40,40,0,108577.97,69.8069528445675,77,707,107926.02,1,"Male","University","No loan","Spain","1","1","Mass Market","Married","1",1
5260,4,5,28,25,0,3749,104.386135724497,42,643,115142.9,1,"Male","High School","Active loan","Germany","1","1","Affluent","Single","1",0
3686,8,6,33,24,0,4070.28,61.2633243772578,83,742,0,3,"Male","High School","Active loan","Spain","1","0","Affluent","Single","0",0
6857,3,6,30,43,0,185489.11,139.884099276362,70,562,0,1,"Male","High School","Active loan","France","1","0","Affluent","Single","1",0
9078,5,4,31,44,0,128046.98,74.2881477485635,79,504,0,1,"Male","High School","Active loan","France","1","0","Affluent","Single","0",0
8027,3,10,34,29,0,128077.8,342.465233382768,67,745,61710.44,2,"Male","University","No loan","Spain","1","0","Mass Market","Married","1",0
9387,0,10,28,35,0,145325.32,169.242426646457,41,837,0,1,"Male","High School","No loan","Germany","1","0","Affluent","Single","1",0
3847,8,4,34,25,0,106024.02,196.711231449506,23,792,100829.94,1,"Male","High School","No loan","Spain","1","1","Affluent","Single","1",0
3983,9,9,19,40,0,16618.76,72.0057862440666,20,848,110929.96,1,"Male","Postgraduate","No loan","Spain","1","1","High Net Worth","Divorced","0",0
7715,2,6,29,28,0,19233.41,115.622886072032,69,738,177997.07,1,"Male","High School","Active loan","Spain","0","1","Affluent","Single","0",0
9023,2,2,32,40,0,46415.09,129.665258158137,73,796,0,2,"Male","University","No loan","Germany","1","1","Mass Market","Married","1",0
7573,1,9,30,38,0,122379.54,164.047773595087,51,706,0,2,"Male","High School","No loan","France","1","0","Mass Market","Married","1",0
9095,3,0,29,72,3,183682.09,29.7754304334449,33,786,137361.96,1,"Male","Other","Default risk","France","0","0","High Net Worth","Widowed","0",0
3151,8,9,37,35,0,189339.6,44.4404064779734,63,460,102742.91,2,"Female","University","No loan","Germany","1","1","Mass Market","Married","1",0
9810,4,5,26,32,0,77677.14,66.6566967634053,58,603,98899.76,1,"Male","High School","Active loan","Germany","1","1","Affluent","Single","1",0
4638,1,1,31,35,2,174770.14,105.765231380132,92,636,0,2,"Male","Postgraduate","Active loan","Spain","0","0","High Net Worth","Divorced","0",1
5208,4,1,24,37,2,198252.88,93.7513861516697,58,670,170557.91,2,"Male","Postgraduate","Default risk","France","1","1","High Net Worth","Divorced","0",0
9299,8,9,29,41,0,20491.15,296.842081525624,73,521,28649.64,1,"Male","High School","No loan","Germany","0","1","Mass Market","Married","1",0
5474,6,9,26,27,0,172031.22,59.1872278392739,63,600,0,2,"Female","University","No loan","Spain","1","1","Mass Market","Married","1",0
4029,7,10,32,28,0,122190.22,115.911957519496,78,418,98738.92,1,"Male","University","No loan","France","1","0","Mass Market","Married","1",0
3326,9,8,32,23,0,175480.93,173.550338689596,77,595,0,2,"Male","University","No loan","Spain","1","1","Mass Market","Married","1",0
6856,10,9,22,42,0,153015.42,122.403278075113,86,748,0,2,"Male","University","No loan","Spain","0","0","Mass Market","Married","1",0
5837,4,7,27,26,1,71405.17,76.3114182998766,82,646,139848.17,1,"Male","Postgraduate","Active loan","France","1","0","High Net Worth","Divorced","0",0
4956,8,10,14,44,0,159254.29,38.0672834559793,69,546,61172.04,1,"Male","University","No loan","France","1","0","Mass Market","Married","1",0
8358,8,7,24,56,0,29880.99,43.6536842480837,64,793,180293.84,2,"Female","University","No loan","France","1","0","Mass Market","Married","1",0
8884,5,0,29,48,3,132979.43,101.995991929684,56,603,0,2,"Male","Other","Default risk","France","1","0","High Net Worth","Widowed","0",0
7093,3,3,32,39,1,41866.26,231.07999356427,85,588,118336.14,1,"Female","Postgraduate","Active loan","France","1","0","High Net Worth","Divorced","0",0
8459,1,8,24,64,0,41800.18,198.485835272273,49,647,91216,1,"Female","University","No loan","Spain","1","1","Mass Market","Married","1",0
3985,5,8,25,40,0,77414.45,74.7881104667348,73,624,84474.62,2,"Male","University","No loan","France","1","1","Mass Market","Married","1",0
9183,9,10,37,56,0,39488.04,95.3570108041784,38,804,142147.32,1,"Male","High School","Active loan","France","0","0","Affluent","Single","0",1
3986,4,9,42,30,0,19500.1,99.8803133350913,56,710,128366.44,1,"Female","University","No loan","Spain","1","0","Mass Market","Married","1",0
7233,9,9,24,85,0,137835.82,163.571753005079,72,529,122550.05,2,"Female","University","No loan","France","1","1","Mass Market","Married","1",0
5503,1,8,27,35,0,152541.89,44.5629966624466,50,603,123407.69,1,"Male","University","No loan","France","1","0","Mass Market","Married","1",1
4762,8,9,26,27,0,188007.99,60.1389851224241,48,663,155423.17,1,"Male","University","No loan","Spain","1","1","Mass Market","Married","1",0
4584,1,8,24,47,0,62449.07,72.7244977911577,67,553,142876.98,2,"Male","High School","No loan","Spain","1","1","Mass Market","Married","1",0
7685,5,10,28,36,0,160696.72,111.665168984205,72,847,0,1,"Female","University","No loan","France","1","1","Mass Market","Married","1",0
7084,5,8,30,50,0,192146.63,55.7398027338432,82,579,117721.02,1,"Female","University","No loan","Germany","0","1","Mass Market","Married","1",1
8999,3,10,30,49,0,44692.63,72.776687872294,85,790,88656.37,2,"Female","University","No loan","Spain","1","0","Mass Market","Married","1",1
5087,7,5,30,33,0,136540.09,64.0537955212228,49,685,89939.62,1,"Female","High School","No loan","France","1","0","Affluent","Single","1",0
5244,3,5,21,30,0,131647.31,147.334512187635,65,546,132837.7,3,"Male","University","No loan","Germany","1","1","Mass Market","Married","1",0
4793,6,4,30,35,0,176962.31,171.581219619005,76,690,126473.99,1,"Male","High School","Active loan","France","1","0","Affluent","Single","0",0
7776,8,6,33,30,0,176728.28,175.671348306561,71,543,0,2,"Male","High School","Active loan","France","1","0","Affluent","Single","0",0
8726,3,8,37,28,0,133059.15,140.650032228092,70,628,119839.69,1,"Male","University","No loan","France","1","1","Mass Market","Married","1",0
9644,5,3,29,38,1,71905.77,67.7651855108042,55,739,130878.75,3,"Male","Postgraduate","Active loan","Germany","1","0","High Net Worth","Divorced","0",1
9851,6,6,34,24,0,169505.83,175.362734591164,53,479,107637.97,2,"Male","University","No loan","Germany","1","1","Mass Market","Married","1",0
4808,7,10,25,38,0,99106.97,124.632271859076,72,589,92219.21,1,"Male","University","No loan","France","1","0","Mass Market","Married","1",0
3344,8,9,22,43,0,121904.44,77.6263020248394,68,583,124540.28,1,"Female","University","No loan","France","1","0","Mass Market","Married","1",0
5507,4,10,32,30,0,91366.42,236.855022965346,65,620,125385.01,1,"Male","University","No loan","Spain","1","0","Mass Market","Married","1",0
5992,10,6,36,32,0,22487.45,42.7258092667604,58,665,109493.62,1,"Female","High School","Active loan","Spain","1","1","Affluent","Single","0",0
6092,7,2,21,32,0,140130.22,130.696810102282,42,565,135369.71,1,"Male","High School","No loan","France","0","1","Affluent","Single","1",0
3195,7,8,27,34,0,56646.28,102.057134348173,89,626,0,4,"Male","University","No loan","France","0","1","Mass Market","Married","1",0
8981,1,1,31,36,2,33075.24,92.4322082457552,86,485,68806.84,1,"Female","Postgraduate","Default risk","Germany","1","0","High Net Worth","Divorced","0",0
6236,7,10,40,47,0,157959.02,232.8583365047,50,668,106854.21,1,"Male","University","No loan","France","0","1","Mass Market","Married","1",1
6124,1,10,39,35,0,142680.64,311.798779584777,79,638,0,1,"Female","University","No loan","Germany","1","1","Mass Market","Married","1",0
7972,5,7,26,38,0,53949.98,217.572379529867,59,570,127201.58,1,"Male","High School","Active loan","Germany","1","0","Affluent","Single","0",1
9678,2,0,41,38,5,42171.13,59.7110379883067,62,741,0,2,"Male","Postgraduate","Active loan","France","1","0","High Net Worth","Divorced","0",0
5225,7,8,35,35,0,287.99,60.582224563113,46,485,0,2,"Male","University","No loan","France","0","1","Mass Market","Married","1",0
7650,6,9,35,35,0,110784.42,96.2957818837317,33,583,118715.86,1,"Female","High School","No loan","Spain","1","1","Mass Market","Married","1",0
5875,3,10,29,28,0,13182.43,90.0150533064645,55,766,62717.84,1,"Female","University","No loan","Germany","0","1","Mass Market","Married","1",0
5132,9,10,31,37,0,16733.59,98.2007943972664,66,666,0,2,"Female","University","No loan","France","1","0","Mass Market","Married","1",0
8643,8,8,44,61,0,139861.53,169.101900585521,51,752,0,2,"Female","University","No loan","Spain","0","1","Mass Market","Married","1",0
9777,5,7,36,33,0,141860.62,66.8388938318063,48,757,77253.22,1,"Male","High School","No loan","Spain","0","1","Affluent","Single","1",0
7023,1,6,28,36,0,199273.98,55.1863431222177,56,548,100895.54,1,"Male","High School","Active loan","France","0","1","Affluent","Single","0",0
6464,9,4,27,29,0,2803.89,89.0420794164789,64,518,85146.36,1,"Female","High School","No loan","France","0","1","Mass Market","Married","1",0
4326,7,8,24,42,0,141210.5,70.4989772706416,62,543,0,2,"Female","University","No loan","France","1","0","Mass Market","Married","1",0
9741,6,8,31,43,0,111249.62,82.1598661042357,22,601,141859.12,2,"Female","University","No loan","Germany","0","1","Mass Market","Married","1",0
6949,10,4,29,42,0,150266.81,65.2822620947719,51,616,0,2,"Female","University","No loan","Germany","0","1","Mass Market","Married","1",0
7802,2,0,25,31,3,54487.43,59.3270566430225,80,428,0,2,"Female","Other","Default risk","France","1","0","High Net Worth","Widowed","0",0
5667,10,8,27,38,0,74846.67,129.80077573262,54,648,82697.28,2,"Male","University","No loan","France","0","0","Mass Market","Married","1",0
6502,9,5,40,29,0,80393.27,114.328260464334,53,850,0,1,"Male","High School","Active loan","France","1","1","Affluent","Single","0",0
5758,9,9,30,32,0,112340.2,117.514927078603,59,664,0,2,"Male","University","No loan","France","0","1","Mass Market","Married","1",0
6833,2,8,35,37,0,171364.18,144.714082534801,73,724,0,2,"Male","High School","No loan","France","0","1","Affluent","Single","1",0
3712,9,1,31,29,2,103511.26,73.0193804697372,58,691,163965.69,2,"Male","University","No loan","Germany","0","1","Mass Market","Married","1",0
4452,7,10,30,38,0,59115.77,49.6158473330204,47,850,132767.66,2,"Male","University","No loan","Germany","1","1","Mass Market","Married","1",0
7768,4,0,30,43,3,197221.81,112.698529751688,65,592,0,1,"Female","Other","Default risk","France","1","0","High Net Worth","Widowed","0",0
8370,7,8,23,38,0,124389.61,93.1746484332588,54,602,111835.94,2,"Male","University","No loan","France","1","0","Mass Market","Married","1",0
4828,5,9,27,35,0,104469.06,90.9867273156921,52,767,98723.67,1,"Female","University","No loan","France","1","0","Mass Market","Married","1",1
6501,10,8,34,37,0,18391.93,135.2470581267,42,554,0,2,"Female","University","No loan","France","1","1","Mass Market","Married","1",0
6069,1,9,33,32,0,67926.18,97.8116160395368,56,507,0,2,"Female","Postgraduate","Active loan","Spain","1","0","High Net Worth","Divorced","0",0
5446,7,9,22,19,0,27435.41,93.8640439692714,76,783,0,1,"Male","High School","Active loan","Spain","1","1","Affluent","Single","1",0
6061,6,4,29,36,0,199635.93,151.336791494056,66,646,0,2,"Female","University","No loan","Germany","1","1","Mass Market","Married","1",0
3528,8,4,30,41,0,117505.07,70.1875324353623,66,588,121175.56,1,"Male","High School","Active loan","France","1","0","Affluent","Single","0",1
