"ID","Exited","Age","IsActiveMember","Geography","Balance","Gender","NumOfProducts"
3985,0,40,1,"France",84474.62,"Male",2
9183,1,56,0,"France",142147.32,"Male",1
3986,0,30,0,"Spain",128366.44,"Female",1
7233,0,85,1,"France",122550.05,"Female",2
5503,1,35,0,"France",123407.69,"Male",1
4762,0,27,1,"Spain",155423.17,"Male",1
4584,0,47,1,"Spain",142876.98,"Male",2
7685,0,36,1,"France",0,"Female",1
7084,1,50,1,"Germany",117721.02,"Female",1
8999,1,49,0,"Spain",88656.37,"Female",2
5087,0,33,0,"France",89939.62,"Female",1
5244,0,30,1,"Germany",132837.7,"Male",3
4793,0,35,0,"France",126473.99,"Male",1
7776,0,30,0,"France",0,"Male",2
8726,0,28,1,"France",119839.69,"Male",1
9644,1,38,0,"Germany",130878.75,"Male",3
9851,0,24,1,"Germany",107637.97,"Male",2
4808,0,38,0,"France",92219.21,"Male",1
3344,0,43,0,"France",124540.28,"Female",1
5507,0,30,0,"Spain",125385.01,"Male",1
5992,0,32,1,"Spain",109493.62,"Female",1
6092,0,32,1,"France",135369.71,"Male",1
3195,0,34,1,"France",0,"Male",4
8981,0,36,0,"Germany",68806.84,"Female",1
6236,1,47,1,"France",106854.21,"Male",1
6124,0,35,1,"Germany",0,"Female",1
7972,1,38,0,"Germany",127201.58,"Male",1
5225,0,35,1,"France",0,"Male",2
7650,0,35,1,"Spain",118715.86,"Female",1
5875,0,28,1,"Germany",62717.84,"Female",1
5132,0,37,0,"France",0,"Female",2
8643,0,61,1,"Spain",0,"Female",2
9777,0,33,1,"Spain",77253.22,"Male",1
7023,0,36,1,"France",100895.54,"Male",1
6464,0,29,1,"France",85146.36,"Female",1
9741,0,43,1,"Germany",141859.12,"Female",2
6949,0,42,1,"Germany",0,"Female",2
7802,0,31,0,"France",0,"Female",2
5667,0,38,0,"France",82697.28,"Male",2
5758,0,32,1,"France",0,"Male",2
6833,0,37,1,"France",0,"Male",2
3712,0,29,1,"Germany",163965.69,"Male",2
4452,0,38,1,"Germany",132767.66,"Male",2
7768,0,43,0,"France",0,"Female",1
8370,0,38,0,"France",111835.94,"Male",2
4828,1,35,0,"France",98723.67,"Female",1
6501,0,37,1,"France",0,"Female",2
6069,0,32,0,"Spain",0,"Female",2
5446,0,19,1,"Spain",0,"Male",1
6061,0,36,1,"Germany",0,"Female",2
3528,1,41,0,"France",121175.56,"Male",1
7055,1,57,1,"France",0,"Male",2
9525,0,67,1,"France",129431.36,"Male",1
4569,0,27,0,"Spain",149400.27,"Male",1
9184,0,28,0,"France",175735.5,"Male",1
9056,0,33,0,"Spain",89047.14,"Male",1
9666,0,35,1,"Germany",117685.31,"Male",2
3473,0,34,0,"France",0,"Male",2
9344,0,33,1,"France",0,"Male",1
9098,0,37,1,"France",0,"Female",1
4149,0,44,1,"France",0,"Male",2
5037,1,31,1,"France",23503.31,"Female",1
5313,0,44,1,"Germany",140393.65,"Male",2
5823,0,40,1,"France",0,"Male",2
4927,0,30,0,"France",70362.52,"Male",2
9330,0,50,0,"Germany",190125.43,"Male",2
6324,1,42,1,"France",69434.4,"Male",2
3458,1,28,1,"Spain",0,"Female",2
6224,0,35,0,"Germany",188285.68,"Female",1
7927,0,37,0,"Germany",145610.07,"Male",1
4078,0,36,0,"Germany",190479.48,"Male",2
8658,0,33,1,"France",86006.3,"Female",1
9379,0,33,0,"France",126345.55,"Female",1
4313,0,37,0,"Spain",0,"Female",2
3185,0,18,1,"France",0,"Male",2
3413,0,35,1,"France",127201.58,"Male",1
7723,0,36,0,"France",0,"Male",1
5570,0,30,1,"Germany",153590.73,"Male",2
4333,0,42,1,"France",132667.17,"Female",1
9349,1,30,1,"France",134388.11,"Female",2
8995,0,33,0,"Spain",129834.67,"Male",1
7875,0,28,0,"Germany",0,"Female",2
4561,0,29,1,"France",109676.52,"Female",2
3564,0,33,1,"Germany",146780.52,"Female",2
4415,0,45,1,"Spain",0,"Male",2
9912,0,31,1,"Germany",122822,"Male",2
6799,1,43,1,"France",88011.4,"Female",1
4370,0,38,0,"France",0,"Male",1
7256,0,28,0,"Spain",0,"Male",2
9612,0,30,1,"France",0,"Male",2
6581,0,37,0,"France",105302.66,"Female",1
5968,0,33,0,"France",56084.69,"Male",1
6129,0,40,0,"France",0,"Male",2
9601,1,41,1,"Germany",130701.29,"Female",1
7713,0,51,0,"Spain",0,"Male",1
3357,0,72,1,"France",152509.25,"Female",1
3279,0,35,0,"France",120621.89,"Female",1
9491,1,42,1,"Germany",132796.04,"Female",1
5266,0,68,0,"France",120787.18,"Male",2
3618,0,32,1,"France",0,"Male",1
4905,1,45,0,"France",0,"Female",2
3337,0,37,0,"Spain",166930.76,"Female",1
5074,0,46,1,"France",0,"Female",2
3539,0,22,1,"Germany",129667.77,"Female",1
8077,0,19,0,"Spain",89750.21,"Male",1
3956,0,35,1,"Germany",141428.99,"Female",2
8877,0,46,1,"France",87807.29,"Male",1
8786,0,30,1,"France",98014.74,"Male",1
6625,0,39,1,"France",0,"Female",2
6462,1,25,0,"Spain",154962.99,"Female",3
8618,0,34,1,"France",175303.06,"Female",1
6008,0,41,0,"France",150219.41,"Male",2
4445,0,41,0,"Spain",0,"Female",2
8177,0,29,0,"France",113174.21,"Male",2
5211,0,50,0,"Germany",0,"Female",2
5286,1,62,0,"France",148021.12,"Female",1
8793,0,27,1,"France",0,"Female",2
5626,0,43,0,"France",87624.03,"Male",1
9882,1,63,0,"France",0,"Male",1
8509,0,59,1,"France",77556.79,"Female",2
7213,0,38,1,"Germany",0,"Female",2
7744,0,40,0,"Spain",113794.22,"Female",1
4079,0,48,1,"Spain",150315.92,"Female",2
4241,0,74,0,"France",0,"Male",1
5605,1,63,0,"Germany",104469.58,"Female",1
4706,1,46,0,"France",66582.81,"Female",1
9559,0,26,0,"France",0,"Male",2
3873,1,40,0,"Spain",150490.32,"Female",1
3757,1,28,0,"Germany",0,"Female",2
9061,0,42,1,"Germany",137560.38,"Male",2
3988,1,47,0,"France",85534.83,"Male",1
5495,0,31,0,"Spain",100488.92,"Male",2
7807,1,50,0,"France",121159.65,"Female",1
8588,0,27,0,"France",86569.76,"Female",2
4234,1,22,0,"Germany",99339,"Male",1
7445,0,37,0,"France",128345.69,"Female",2
4425,0,40,1,"France",136093.74,"Female",1
6809,0,33,1,"France",0,"Male",2
9823,0,77,1,"Germany",27517.15,"Male",2
7482,0,29,0,"France",0,"Male",2
5072,0,20,1,"Spain",67495.04,"Male",3
6071,0,25,0,"Spain",0,"Male",2
9083,0,21,1,"Spain",0,"Male",2
8250,0,36,1,"France",137104.47,"Male",2
5213,0,41,0,"Spain",110624.99,"Male",1
8823,1,54,1,"Germany",111009.32,"Female",1
4612,1,37,1,"France",89634.69,"Female",1
8497,0,37,1,"France",0,"Male",1
6853,1,43,1,"Spain",86053.52,"Female",1
9314,0,46,0,"Spain",0,"Male",2
8565,0,27,0,"Germany",171601.27,"Female",1
3710,0,31,0,"Germany",156111.24,"Male",1
4258,0,30,1,"France",160680.41,"Male",1
5470,0,30,0,"France",100488.92,"Male",2
5556,0,43,1,"Germany",62052.28,"Male",1
9905,0,40,0,"France",176024.05,"Female",2
5112,0,34,0,"France",144094.2,"Male",1
9224,0,36,1,"Spain",0,"Male",1
9897,0,38,0,"Spain",0,"Female",2
6035,0,50,1,"Germany",67087.69,"Male",1
9619,0,39,1,"France",137301.87,"Female",1
9907,0,25,1,"France",121172.97,"Female",1
4347,0,40,0,"Germany",154669.77,"Female",1
9623,0,31,1,"Germany",141069.18,"Female",1
3791,1,38,1,"Spain",0,"Female",2
4987,0,29,1,"France",65962.63,"Male",1
8001,0,40,1,"Spain",106648.98,"Male",1
7903,0,22,0,"France",0,"Male",2
8342,0,47,1,"Germany",0,"Female",2
8407,0,41,0,"Spain",103154.66,"Male",1
8854,0,35,1,"France",114552.6,"Female",1
6657,0,40,0,"Spain",0,"Male",2
7388,1,45,0,"Germany",131038.14,"Male",1
8346,1,43,1,"Spain",62391.22,"Male",1
8910,0,59,1,"Spain",0,"Female",2
4708,1,25,0,"Spain",69608.14,"Male",1
7393,0,51,0,"Spain",122874.74,"Female",1
7956,0,72,1,"France",94216.05,"Male",1
7701,1,39,0,"France",0,"Female",1
4835,0,37,0,"France",113899.92,"Female",1
6111,0,54,1,"Germany",118614.6,"Male",2
4261,1,40,1,"Spain",0,"Female",3
9309,1,45,1,"France",0,"Male",1
9881,1,29,1,"France",153040.03,"Male",1
4057,1,43,1,"Spain",0,"Male",2
3083,1,38,0,"Germany",113150.44,"Male",1
6468,0,43,1,"France",0,"Male",2
3866,1,48,0,"France",73309.38,"Female",1
5325,0,20,0,"France",0,"Male",2
8119,0,54,1,"Germany",97382.53,"Female",2
7172,0,33,1,"France",155736.42,"Male",2
8214,1,52,1,"Germany",130013.12,"Female",1
9518,0,26,0,"France",98684.15,"Male",1
5371,0,48,0,"Spain",0,"Female",2
5163,1,27,0,"Germany",100431.84,"Female",1
9694,0,38,1,"Germany",170557.91,"Male",2
5656,0,35,0,"France",166118.45,"Female",2
3682,0,24,0,"France",106234.02,"Female",1
9906,0,38,1,"France",94748.76,"Male",2
6168,0,25,1,"Germany",146566.01,"Female",1
4562,0,42,1,"France",157404.02,"Female",2
9541,0,28,0,"Spain",0,"Female",1
6814,0,33,0,"France",63438.91,"Male",1
3989,0,32,1,"Germany",0,"Male",1
7052,0,58,1,"Germany",137318.42,"Male",1
4961,1,31,0,"Germany",107818.63,"Female",1
9536,0,32,0,"France",107569.96,"Male",1
7007,0,31,1,"France",0,"Male",2
8834,0,36,1,"Germany",76190.48,"Male",3
5641,0,48,1,"France",118469.38,"Male",2
8567,0,32,0,"France",70784.27,"Female",1
4362,1,30,1,"Germany",158456.76,"Male",1
7339,0,38,0,"France",129717.3,"Female",2
5154,0,31,1,"Spain",0,"Male",2
6959,0,27,0,"France",0,"Male",2
9155,0,40,1,"Spain",167878.5,"Female",1
7721,1,42,1,"France",0,"Female",3
6436,0,32,1,"France",0,"Female",2
3386,0,38,1,"Spain",163764.84,"Male",2
5451,0,46,1,"Spain",0,"Male",2
7557,0,32,0,"Spain",121175.56,"Female",1
3141,0,51,0,"France",120681.63,"Male",1
3031,0,62,1,"Spain",0,"Male",2
9046,1,43,1,"France",0,"Female",2
8235,0,34,1,"France",108128.52,"Male",1
9792,0,24,0,"France",75263.7,"Female",1
7190,1,24,1,"Spain",173962.32,"Female",1
6786,0,32,1,"Germany",121669.23,"Female",1
7112,0,36,1,"France",103108.17,"Male",2
6781,1,27,0,"Germany",131402.21,"Female",1
3178,1,32,1,"France",89079.41,"Male",1
6489,0,29,0,"Spain",0,"Male",2
6536,1,54,0,"Germany",128966.13,"Male",1
8532,0,27,0,"France",0,"Male",1
9321,0,31,1,"France",151858.98,"Male",1
8557,0,52,0,"France",105792.49,"Male",1
8020,1,44,0,"France",86977.96,"Male",1
8698,1,42,0,"Germany",139756.12,"Female",1
3204,0,34,1,"France",0,"Male",1
6247,0,37,1,"Germany",106453.53,"Female",2
7019,1,45,0,"France",68375.27,"Female",1
5421,0,45,1,"Spain",0,"Female",2
8242,1,66,1,"Germany",135392.31,"Female",1
6475,0,61,1,"Spain",0,"Male",2
5363,0,33,0,"Spain",190566.65,"Female",1
3259,0,33,1,"Germany",0,"Female",2
7590,0,32,1,"France",156001.68,"Male",2
8985,0,26,1,"Spain",76554.06,"Female",1
8880,0,32,1,"France",121542.57,"Female",1
8409,0,37,0,"Spain",183613.66,"Female",1
4355,0,28,1,"France",0,"Female",1
6064,0,39,0,"France",134497.27,"Female",1
8228,0,42,0,"Spain",133767.19,"Male",1
4325,0,52,1,"Spain",151457.88,"Male",1
7106,0,49,0,"Spain",160602.25,"Female",2
7266,0,48,1,"France",92347.96,"Male",1
7071,0,54,1,"France",95507.12,"Female",1
5450,0,51,0,"France",105056.13,"Male",1
4233,0,57,1,"Germany",101134.87,"Male",2
6540,0,29,1,"France",0,"Male",2
4851,1,47,1,"France",0,"Female",1
4673,0,63,0,"Spain",111634.29,"Male",2
6467,0,36,1,"Germany",0,"Male",2
7204,0,43,0,"Spain",0,"Female",1
7104,1,46,0,"France",99786.07,"Male",1
7722,0,75,1,"Germany",61319.63,"Female",2
7357,0,34,0,"France",120509.81,"Male",1
5589,0,40,1,"Spain",0,"Male",2
9470,0,56,1,"France",105525.65,"Male",2
8194,1,42,0,"France",144801.97,"Female",1
5330,1,49,0,"Germany",0,"Female",1
4609,0,49,0,"Germany",151922.94,"Male",1
6339,0,40,1,"Spain",111900.14,"Male",1
9007,0,55,0,"Germany",126817.65,"Female",2
8382,0,36,0,"Germany",100476.46,"Female",2
9600,1,48,0,"France",165282.42,"Male",1
8843,0,30,0,"Germany",96032.22,"Female",1
8339,0,40,0,"Germany",128486.91,"Male",2
6424,0,27,1,"Germany",105907.42,"Male",2
3667,0,32,1,"Germany",0,"Female",2
8086,0,35,0,"Germany",49512.55,"Male",1
8239,0,28,0,"France",99250.08,"Female",2
7548,0,29,1,"France",104339.11,"Male",2
3856,0,33,1,"Germany",0,"Male",1
4948,0,31,1,"France",139395.08,"Female",1
8699,0,36,0,"Spain",113672.18,"Male",2
5670,0,39,0,"France",0,"Male",2
4960,0,41,1,"Spain",0,"Female",1
4060,0,38,1,"Spain",132951.92,"Female",1
6127,0,35,0,"Spain",85897.95,"Female",1
6562,0,39,0,"Spain",0,"Male",1
4264,0,23,1,"Germany",114713.57,"Female",1
7987,0,44,0,"France",132623.6,"Male",1
4886,0,60,1,"France",118210.42,"Male",2
4328,0,45,1,"France",156218.19,"Male",1
9843,1,66,0,"Spain",0,"Female",2
6082,0,28,1,"Spain",128929.88,"Female",1
3665,0,40,0,"Spain",121355.99,"Male",1
6494,0,47,1,"France",107604.66,"Male",1
5035,1,42,1,"Spain",140094.59,"Female",1
8732,0,35,1,"Spain",158261.68,"Male",1
6177,0,29,0,"France",156021.31,"Male",2
7889,1,31,0,"Germany",165048.5,"Male",3
9999,0,64,1,"Germany",91869.69,"Female",1
4204,0,33,0,"Spain",0,"Female",2
7374,0,35,0,"France",0,"Female",2
3241,1,41,1,"Spain",100520.92,"Male",1
7120,0,41,1,"France",152243.57,"Female",1
4727,1,24,1,"Spain",161993.89,"Female",1
5085,0,43,0,"Germany",116644.29,"Female",2
5734,0,28,0,"Germany",77776.39,"Female",1
8423,0,48,0,"France",65269.23,"Male",1
4743,0,21,1,"France",0,"Female",2
6984,0,35,1,"Spain",95772.97,"Male",1
9163,0,44,1,"France",0,"Female",2
8791,0,39,1,"France",0,"Male",1
3378,0,35,1,"Germany",0,"Male",2
3549,0,36,0,"France",0,"Male",2
8735,1,30,1,"France",0,"Female",2
7030,0,24,1,"Germany",129417.82,"Male",1
7489,0,31,0,"France",0,"Male",3
6211,0,40,1,"Germany",137389.77,"Female",2
9992,0,30,1,"Germany",110555.37,"Male",2
4395,0,31,1,"France",155271.83,"Male",1
8309,1,53,1,"France",104552.61,"Male",1
3311,0,30,1,"Spain",0,"Female",2
9333,0,40,0,"France",112957.26,"Female",2
4442,0,29,1,"France",73194.52,"Female",2
8502,0,41,1,"France",0,"Female",2
5086,0,47,1,"France",0,"Female",2
4108,0,45,1,"Germany",106431.97,"Female",2
5894,0,60,1,"France",88786.81,"Male",1
4666,0,38,0,"France",130015.24,"Male",1
3120,1,54,0,"Germany",92316.31,"Female",2
5760,0,33,0,"France",0,"Male",1
4557,0,70,0,"France",94416.78,"Male",1
6571,1,35,0,"Germany",127543.11,"Female",2
3599,0,59,1,"France",161651.37,"Female",1
9947,0,40,0,"France",119501.88,"Male",2
8435,0,39,0,"France",88477.36,"Female",2
9225,1,41,0,"Germany",138881.04,"Female",1
8175,0,30,1,"France",108306.44,"Female",1
3134,0,41,1,"France",124348.38,"Male",2
7520,0,30,1,"France",122822,"Male",2
5804,1,49,1,"France",153855.52,"Female",1
9150,1,48,1,"Germany",104478.12,"Female",3
6200,0,31,0,"France",102523.88,"Female",1
3879,0,48,0,"France",170557.91,"Female",1
3668,0,39,1,"Spain",131468.44,"Male",1
8920,0,53,1,"Spain",0,"Male",1
3049,0,39,1,"Spain",0,"Female",2
8596,0,38,1,"France",146343.98,"Male",1
6311,0,49,0,"France",81025.6,"Female",1
3193,0,47,1,"Spain",122028.65,"Male",2
7399,0,38,1,"Germany",127559.97,"Male",2
5238,0,62,1,"Germany",108716.59,"Male",2
6696,0,43,0,"Spain",83415.04,"Male",1
3191,0,50,1,"Spain",0,"Female",2
9263,0,47,0,"France",0,"Male",2
6699,0,32,1,"Germany",178011.5,"Male",2
8747,1,49,1,"Germany",0,"Male",3
7913,0,31,0,"Germany",112373.49,"Female",2
6975,1,48,1,"France",163630.76,"Male",1
5109,1,55,0,"France",127723.25,"Female",2
4446,1,36,0,"France",139290.41,"Male",1
6180,0,45,1,"Germany",111183.53,"Male",1
4316,0,24,1,"France",0,"Female",2
4397,0,42,1,"France",0,"Male",2
8655,0,39,1,"France",97819.36,"Female",1
9646,0,38,0,"Germany",137657.71,"Male",2
5978,0,31,1,"France",0,"Female",2
6716,0,40,1,"Germany",86172.81,"Male",2
8046,0,28,1,"France",123070.89,"Male",1
8533,0,49,0,"Germany",116927.89,"Male",1
7794,1,42,0,"Spain",117289.92,"Female",1
8883,0,37,0,"France",182888.08,"Male",1
8323,0,67,1,"France",113978.97,"Female",2
3758,0,32,1,"France",45144.43,"Male",2
8089,0,36,1,"France",147733.64,"Male",1
4464,0,33,0,"Spain",121260.19,"Male",2
5995,1,61,1,"Germany",0,"Female",1
3251,0,23,0,"France",117300.02,"Male",1
5608,0,43,0,"Germany",0,"Male",2
3643,0,35,1,"Spain",102097.33,"Female",1
5593,1,49,0,"France",145150.28,"Male",1
3990,0,40,1,"France",131411.24,"Male",1
5210,1,55,1,"France",44582.07,"Female",3
5624,0,35,0,"Germany",85668.59,"Male",2
9312,0,41,1,"Germany",0,"Male",2
6514,1,51,1,"Spain",87603.35,"Female",3
9222,0,43,1,"Germany",134896.03,"Male",1
9633,0,55,0,"France",99685.06,"Female",1
4517,0,45,1,"France",116854.71,"Male",1
8544,1,50,0,"France",72788.03,"Male",1
3445,0,23,1,"Germany",197715.93,"Male",2
6043,0,36,1,"Germany",102800.72,"Male",1
3095,0,32,1,"France",49572.73,"Male",1
6990,0,35,1,"Germany",126732.85,"Male",1
9607,0,29,0,"Spain",0,"Female",2
3379,1,32,1,"Spain",0,"Male",2
4366,0,39,0,"France",0,"Female",1
5269,0,54,0,"France",0,"Male",2
3620,0,35,0,"Germany",147127.81,"Male",2
3448,1,31,1,"France",0,"Male",1
3242,0,59,0,"France",119380.37,"Male",1
5862,0,40,1,"France",129250,"Male",2
9088,0,28,1,"Germany",135337.49,"Female",2
3407,0,29,0,"Spain",133434.57,"Male",2
9373,0,32,1,"Germany",68067.24,"Female",1
5833,0,41,0,"France",127841.52,"Female",1
5747,0,31,0,"France",129722.57,"Female",1
4465,0,22,0,"Germany",165947.99,"Male",2
6095,0,40,1,"France",123692,"Female",1
7314,0,33,0,"Spain",122528.18,"Female",1
6556,0,38,1,"Spain",0,"Female",2
9723,0,48,0,"Spain",130806.42,"Male",2
3079,0,27,1,"Germany",130274.26,"Male",2
4531,0,42,1,"Spain",139070.51,"Male",1
9827,1,46,0,"France",103583.05,"Female",1
9381,0,44,1,"France",168396.34,"Male",1
7675,0,30,0,"Spain",78653.05,"Male",1
4831,0,43,0,"Germany",0,"Female",2
5977,0,49,1,"France",44928.88,"Male",1
7518,1,36,0,"France",0,"Male",1
7589,0,33,0,"France",64900.32,"Female",2
7826,0,36,0,"Spain",0,"Male",2
4820,1,33,0,"France",114754.08,"Female",1
5257,0,36,1,"France",147262.11,"Male",1
7695,1,33,0,"Germany",144326.09,"Female",2
6765,0,29,0,"France",127570.93,"Male",2
3877,1,47,0,"Spain",157296.02,"Male",2
5406,0,38,1,"Spain",111484.88,"Male",1
8161,0,30,0,"France",172463.45,"Female",2
3904,1,50,1,"Spain",0,"Female",4
7944,0,33,0,"France",0,"Female",2
7546,0,40,0,"France",118793.6,"Female",2
4256,0,30,1,"France",73218.89,"Male",1
4358,0,36,0,"Spain",86172.81,"Female",2
5444,0,59,1,"France",0,"Male",2
6802,0,43,0,"Germany",142755.25,"Female",1
5687,0,41,1,"France",129118.5,"Female",2
7137,1,35,0,"Germany",132253.22,"Female",1
6336,0,44,0,"France",0,"Male",2
6769,0,58,1,"Germany",154110.99,"Female",1
3201,0,29,0,"France",0,"Male",1
3052,0,26,0,"France",0,"Female",2
8345,0,37,1,"Germany",147361.57,"Female",1
5115,0,50,0,"Germany",0,"Male",2
3680,0,32,0,"France",0,"Male",2
6842,1,28,0,"Germany",132405.52,"Male",2
7553,0,45,0,"France",105969.42,"Male",2
4015,0,38,1,"France",105405.97,"Male",1
9784,0,23,1,"Spain",109330.06,"Male",2
8661,1,40,0,"Germany",148571.07,"Female",1
